Unnamed: 0_level_0,L_TO_ANGLE,L_TO_ANGLE,L_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,L_FT_ANGLE,L_FT_ANGLE,L_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,L_SK_ANGLE,L_SK_ANGLE,L_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,L_TH_ANGLE,L_TH_ANGLE,L_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,L_AR_ANGLE,L_AR_ANGLE,L_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,L_FA_ANGLE,L_FA_ANGLE,L_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1695,-2.92808,1.56304,-35.08912,-3.59152,7.62397,-81.42325,-1.32651,0.43739,-35.11708,-3.56781,7.46805,-81.42636,-1.32651,0.43739,-35.11708,-3.56781,7.46805,-81.42636,1.8231,4.90057,-38.90438,-14.36463,17.38387,-59.79568,16.096,-6.91172,-38.61621,2.3911,-10.42373,-61.17884,-4.94975,7.3449,-45.89738,-7.57419,6.22423,-40.19316,-21.10967,-0.06869,-30.01229,-41.15839,11.13898,-28.0493,33.1342,-0.7316,-44.05019,31.07948,-30.82809,4.78459,174.80083,-30.54202,-74.079,139.23618,15.56705,131.77502,155.12463,-30.85381,-83.76583,146.77521,9.28521,130.26866
1696,-2.67769,1.7171,-35.17242,-3.48442,7.30213,-81.77689,-1.11915,0.6183,-35.20418,-3.45166,7.07717,-81.781,-1.11915,0.6183,-35.20418,-3.45166,7.07718,-81.781,1.7866,4.9486,-38.81984,-14.14314,17.37102,-59.8771,16.21361,-6.86517,-38.55245,2.39559,-10.1973,-61.26473,-4.8737,7.38866,-45.9425,-7.51182,6.12598,-40.09109,-21.27723,-0.06332,-29.95048,-41.3378,11.12282,-27.98825,33.41488,-0.79773,-44.08068,31.29301,-30.81121,5.20593,175.22031,-30.45027,-74.25424,139.29295,15.91719,132.33931,155.19536,-30.88666,-84.12593,146.77361,9.77095,130.78719
1697,-2.41766,1.85664,-35.27113,-3.41382,6.91352,-82.09058,-0.91119,0.79066,-35.30593,-3.37775,6.65567,-82.09485,-0.91119,0.79066,-35.30593,-3.37775,6.65568,-82.09485,1.73922,5.02974,-38.71182,-13.92225,17.38458,-59.97786,16.35336,-6.83189,-38.46353,2.41642,-9.96924,-61.37903,-4.79416,7.39999,-46.00704,-7.4483,6.03828,-40.01868,-21.4112,-0.05794,-29.86374,-41.48823,11.09811,-27.90333,33.67624,-0.86013,-44.1517,31.52359,-30.83291,5.65696,175.63887,-30.38576,-74.68319,139.3636,16.31392,132.77068,155.25259,-30.781,-84.716,146.68504,10.17556,131.18774
1698,-2.20741,1.94936,-35.37562,-3.379,6.48309,-82.37846,-0.75211,0.91562,-35.41201,-3.34401,6.22316,-82.38232,-0.75211,0.91562,-35.41201,-3.34401,6.22317,-82.38232,1.68925,5.14967,-38.60451,-13.70384,17.39598,-60.09977,16.52205,-6.81356,-38.37466,2.46475,-9.72764,-61.53117,-4.72062,7.36857,-46.08405,-7.38079,5.96076,-39.97409,-21.4904,-0.04148,-29.77355,-41.58522,11.08259,-27.81126,33.92489,-0.92021,-44.2389,31.76162,-30.90295,6.12161,176.05365,-30.33233,-75.26845,139.44456,16.74793,132.88313,155.34062,-30.52041,-85.40502,146.59941,10.54443,131.27328
1699,-2.08413,1.98788,-35.4733,-3.35574,6.06303,-82.66306,-0.66896,0.97903,-35.50994,-3.32123,5.79639,-82.66662,-0.66896,0.97903,-35.50994,-3.32123,5.7964,-82.66662,1.63918,5.30384,-38.52766,-13.49377,17.38435,-60.24191,16.72779,-6.80781,-38.31893,2.54811,-9.46522,-61.72625,-4.66409,7.2922,-46.16661,-7.30768,5.88689,-39.94461,-21.5032,-0.0092,-29.67701,-41.61799,11.07972,-27.70757,34.17172,-0.97618,-44.28917,32.01419,-31.00908,6.58732,176.45116,-30.25838,-75.78233,139.54301,17.20026,132.60838,155.50905,-30.17184,-85.94318,146.58713,10.91124,130.96701
1700,-2.0569,1.99015,-35.54759,-3.31249,5.70682,-82.96542,-0.65979,0.99146,-35.58394,-3.27219,5.38168,-82.96931,-0.65978,0.99145,-35.58394,-3.27219,5.38169,-82.96931,1.58425,5.4824,-38.49975,-13.29754,17.3429,-60.40136,16.97806,-6.81076,-38.31888,2.66602,-9.18191,-61.96234,-4.63312,7.17597,-46.24967,-7.22906,5.80925,-39.91187,-21.45515,0.03447,-29.55232,-41.59578,11.07782,-27.57297,34.42498,-1.01994,-44.24474,32.3051,-31.12629,7.04828,176.80988,-30.13437,-76.02818,139.67307,17.64841,132.02448,155.80191,-29.84891,-86.1276,146.67436,11.27951,130.34505
1701,-2.13029,1.98656,-35.57514,-3.22956,5.44153,-83.29311,-0.70699,0.9681,-35.61184,-3.17448,4.97492,-83.2981,-0.70699,0.9681,-35.61184,-3.17448,4.97492,-83.2981,1.5143,5.6778,-38.52826,-13.11644,17.27731,-60.55114,17.27725,-6.82074,-38.38543,2.80799,-8.88294,-62.20331,-4.63071,7.02905,-46.33131,-7.14426,5.72475,-39.86028,-21.36757,0.07789,-29.38157,-41.54232,11.05973,-27.39438,34.68447,-1.03702,-44.07436,32.6572,-31.23185,7.49882,177.10805,-29.95317,-75.94844,139.84857,18.07207,131.31444,156.2498,-29.66908,-85.91084,146.83618,11.63419,129.59662
1702,-2.32338,2.00411,-35.52927,-3.10705,5.25584,-83.6326,-0.7983,0.91459,-35.56812,-3.03005,4.56797,-83.63919,-0.7983,0.91459,-35.56812,-3.03005,4.56797,-83.63919,1.41654,5.88938,-38.61446,-12.94817,17.19938,-60.63202,17.62839,-6.84038,-38.52226,2.95759,-8.57463,-62.37234,-4.65401,6.86057,-46.41426,-7.04916,5.63615,-39.78402,-21.26561,0.10654,-29.17241,-41.48024,11.01443,-27.18431,34.94369,-1.01299,-43.79144,33.07179,-31.31684,7.92623,177.33356,-29.73813,-75.62538,140.07742,18.45804,130.71921,156.86505,-29.71433,-85.39491,147.01009,11.95283,128.97469
1703,-2.63602,2.06194,-35.39911,-2.95462,5.1052,-83.95135,-0.93081,0.84945,-35.44243,-2.8542,4.16002,-83.95946,-0.93081,0.84945,-35.44243,-2.8542,4.16003,-83.95946,1.2769,6.12206,-38.73422,-12.79166,17.12123,-60.60579,18.03882,-6.87757,-38.70538,3.10043,-8.26195,-62.41901,-4.69756,6.67831,-46.50273,-6.93605,5.54887,-39.68796,-21.16471,0.10828,-28.95959,-41.4178,10.94245,-26.98028,35.19973,-0.94322,-43.45021,33.52154,-31.38762,8.31086,177.49255,-29.53461,-75.19465,140.3589,18.80229,130.43533,157.63489,-29.99675,-84.73466,147.13341,12.21529,128.68736
