Unnamed: 0_level_0,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,FullBody_AngMom,FullBody_AngMom,FullBody_AngMom
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2261,0.00095,0.0004,-7e-05,0.04778,0.01584,-0.00351,0.02143,-0.04121,-0.06332,-0.00145,-0.00073,-0.00031,0.00163,0.00037,0.00081,-0.00085,0.00028,-0.00047,-0.00413,0.00022,0.00255,-0.0086,0.00363,0.00887,-0.00559,0.00628,0.00165,-0.00062,-0.00194,-6e-05,0.02806,0.02381,0.0397,0.00409,0.00379,0.00472,0.00027,-0.00049,-0.00095,0.00027,-0.00049,-0.00095,-1e-05,-0.0,-0.0,0.04207,0.00819,-0.03259,-0.04325,0.00302,0.00243,0.00317,-0.00141,-0.00674,0.00317,-0.00141,-0.00674,-2e-05,-1e-05,-2e-05,0.41861,0.34014,-0.04817
2262,0.00092,0.00015,-9e-05,0.04626,0.00618,-0.00453,0.07095,0.05092,-0.04922,0.00231,-0.00045,0.00078,0.00179,0.00075,0.00204,-0.00012,0.00064,0.00036,-0.00082,-0.00117,0.00318,-0.0074,0.00189,0.0096,-0.00746,0.0082,0.00109,0.00336,-0.00143,0.00443,-0.0004,0.01745,0.03056,0.00698,0.00375,0.00323,0.00058,-0.00047,-0.00063,0.00058,-0.00047,-0.00063,1e-05,-1e-05,-0.0,0.03837,0.0025,-0.02987,-0.04282,0.00091,0.00285,0.00204,-0.00021,-0.00208,0.00204,-0.00021,-0.00208,1e-05,0.0,-1e-05,0.51553,0.44251,-0.00595
2263,0.00087,-8e-05,-9e-05,0.04335,-0.0028,-0.00475,0.1015,0.11152,0.0069,0.00475,0.00073,0.00353,0.00163,-0.00026,0.00315,0.00097,0.00125,0.00081,0.00225,-0.00204,0.00293,-0.00732,0.00036,0.00884,-0.00657,0.00647,0.00122,0.00443,-0.00185,0.00765,-0.00364,0.00611,0.00449,0.00673,-0.00029,0.00056,0.00033,0.00038,0.00016,0.00033,0.00038,0.00016,2e-05,-0.0,-0.0,0.03723,-0.01054,-0.0216,-0.04029,0.00176,0.00401,-0.00073,0.00054,0.00144,-0.00073,0.00054,0.00144,4e-05,1e-05,1e-05,0.49705,0.39688,0.16212
2264,0.00078,-0.00021,-0.00011,0.03886,-0.00798,-0.00569,0.1333,0.10298,0.04164,0.00471,0.00192,0.00476,0.00161,-0.0005,0.00355,0.00162,0.00189,0.00086,0.00541,-0.00255,0.00022,-0.00916,-0.00047,0.00496,-0.00509,0.00319,0.00053,0.00302,-0.00178,0.00543,0.01737,-0.00516,-0.01791,0.003,-0.00431,-0.00151,0.00016,0.00103,0.00075,0.00016,0.00103,0.00075,2e-05,1e-05,0.0,0.01897,-0.02024,-0.02287,-0.03749,0.00484,0.00382,-0.00295,0.00071,0.00269,-0.00295,0.00071,0.00269,4e-05,1e-05,1e-05,0.37382,0.26028,0.22902
2265,0.00078,-0.00016,-0.00012,0.03902,-0.00578,-0.00585,0.15837,0.02795,0.02063,0.00316,0.00276,0.00279,0.00241,0.00106,0.00222,0.00149,0.0019,0.00037,0.00809,-0.00289,-0.0044,-0.01228,-4e-05,-0.00088,-0.00376,0.00022,-0.00108,0.00194,0.00015,-0.00064,0.03983,-0.00802,-0.01937,-0.00155,-0.00428,-0.00162,0.00054,0.0007,8e-05,0.00054,0.0007,8e-05,0.0,1e-05,0.0,-0.01819,-0.01945,-0.03512,-0.03542,0.00752,0.00189,-0.0031,0.00065,0.00182,-0.0031,0.00065,0.00182,2e-05,1e-05,0.0,0.20597,0.10068,0.11381
2266,0.00096,4e-05,-5e-05,0.0478,0.00176,-0.00231,0.1449,-0.05471,-0.01381,0.00146,0.00305,-0.00052,0.00426,0.00311,-0.00012,0.00067,0.00088,-0.00046,0.00777,-0.0032,-0.0076,-0.01374,0.00154,-0.00452,-0.00238,-0.00162,-0.00176,-0.00016,0.00302,-0.00494,0.04621,-0.00279,-0.0046,-0.00416,-0.00114,-0.00025,0.00113,-0.00015,-0.00149,0.00113,-0.00015,-0.00149,-1e-05,2e-05,-0.0,-0.05762,-0.01342,-0.04445,-0.03384,0.00899,2e-05,-0.00135,0.00059,-0.00059,-0.00135,0.00059,-0.00059,-1e-05,1e-05,-1e-05,-0.06406,-0.03413,0.01248
2267,0.00121,0.00017,9e-05,0.06053,0.00671,0.00447,0.09057,-0.07834,-0.00441,0.00064,0.00186,-0.00204,0.00636,0.00354,-0.00087,-0.00048,-0.00049,-0.00094,0.00353,-0.00344,-0.0065,-0.01102,0.00284,-0.00257,-0.00155,-0.00171,-0.00018,-0.00475,0.00401,-0.00502,0.0405,0.00103,0.00802,-0.00449,0.0018,0.00076,0.00149,-0.00069,-0.0025,0.00149,-0.00069,-0.0025,-2e-05,1e-05,-1e-05,-0.08659,-0.01148,-0.03943,-0.03207,0.01035,-0.00013,0.001,0.00049,-0.00322,0.001,0.00049,-0.00322,-4e-05,1e-05,-1e-05,-0.45674,-0.14496,0.12027
2268,0.00136,0.00013,0.00019,0.06807,0.00469,0.00928,0.04002,-0.05066,0.0195,0.00204,-0.00115,-0.00096,0.00718,0.00204,0.00113,-0.00115,-0.00091,-0.00058,-0.00152,-0.00358,-0.00229,-0.00598,0.0028,0.00323,-0.00192,9e-05,0.00225,-0.00808,0.00105,-0.00436,0.03702,-0.00389,0.00821,-0.00393,0.00347,0.00017,0.00144,-0.00077,-0.00228,0.00144,-0.00077,-0.00228,-2e-05,1e-05,-1e-05,-0.10923,-0.01372,-0.02406,-0.0295,0.01219,0.00088,0.00267,0.00028,-0.00453,0.00267,0.00028,-0.00453,-5e-05,1e-05,-2e-05,-0.83348,-0.28883,0.33418
2269,0.00129,-1e-05,0.00013,0.06434,-0.00067,0.00671,0.03962,-0.03579,-0.0189,0.00586,-0.0041,0.00066,0.00596,0.00065,0.00404,-0.0007,-0.0,0.00048,-0.00362,-0.00323,0.00132,-0.00303,0.00172,0.00704,-0.00304,0.00203,0.00313,-0.00631,-0.00434,-0.00687,0.03954,-0.01471,-0.00214,-0.00303,0.00447,-0.00183,0.00084,-0.00068,-0.00135,0.00084,-0.00068,-0.00135,-1e-05,0.0,-0.0,-0.13387,-0.01339,-0.00676,-0.02557,0.01384,0.00174,0.00292,9e-05,-0.00419,0.00292,9e-05,-0.00419,-3e-05,1e-05,-2e-05,-1.04557,-0.4862,0.40798
2270,0.00103,-0.00015,-6e-05,0.05147,-0.00551,-0.00279,0.08631,-0.05656,-0.10962,0.00934,-0.00449,0.00074,0.00382,0.00121,0.00545,0.00024,0.0012,0.00159,-0.00311,-0.00182,0.00278,-0.00373,-0.00011,0.00587,-0.00353,0.00184,0.00207,-0.00219,-0.00776,-0.01055,0.0367,-0.02256,-0.01645,-0.00118,0.00459,-0.00407,-0.00027,-0.00063,-0.00038,-0.00027,-0.00063,-0.00038,-0.0,-1e-05,-0.0,-0.15927,-0.01001,0.01101,-0.01975,0.01418,0.00227,0.00177,5e-05,-0.00323,0.00177,5e-05,-0.00323,1e-05,1e-05,-1e-05,-1.07889,-0.66514,0.32152
2271,0.00076,-0.0003,-0.00026,0.03791,-0.01109,-0.01274,0.13994,-0.08017,-0.16326,0.00921,-0.00218,-0.00036,0.0025,0.003,0.00478,0.00058,0.00134,0.0021,-0.00291,-0.0004,0.00315,-0.0055,-0.00216,0.00257,-0.00268,-0.00028,0.00071,-0.00118,-0.00633,-0.0103,0.01951,-0.02271,-0.02611,0.00116,0.00293,-0.005,-0.00118,-0.00063,0.00044,-0.00118,-0.00063,0.00044,1e-05,-3e-05,0.0,-0.18173,-0.0077,0.02418,-0.01239,0.01289,0.00225,0.0006,0.00017,-0.00299,0.0006,0.00017,-0.00299,4e-05,1e-05,-1e-05,-1.00251,-0.75121,0.2658
2272,0.00062,-0.00047,-0.00035,0.03102,-0.01719,-0.01714,0.17135,-0.08957,-0.15302,0.00601,0.00048,-0.00067,0.00236,0.00352,0.00298,0.00034,0.00024,0.00186,-0.00384,-0.00117,0.00286,-0.00554,-0.00302,0.00148,-0.00177,-0.00168,0.00061,-0.0039,-0.00215,-0.00651,-0.00233,-0.01934,-0.02501,0.00209,-0.00033,-0.00387,-0.00096,-0.00059,0.00102,-0.00096,-0.00059,0.00102,1e-05,-2e-05,0.0,-0.20495,-0.00505,0.01889,-0.00511,0.01125,0.00034,0.00139,0.0002,-0.004,0.00139,0.0002,-0.004,2e-05,2e-05,-2e-05,-0.89825,-0.79202,0.30335
2273,0.00066,-0.00048,-0.00034,0.03293,-0.01799,-0.01634,0.16994,-0.1031,-0.14716,0.0034,0.00128,0.00063,0.00213,0.00154,0.00116,0.00045,-0.00093,0.00116,-0.00427,-0.00439,0.00086,-0.00349,-0.00131,0.00329,-0.00201,-0.00069,0.00176,-0.00649,-0.00058,-0.00539,-0.00904,-0.01876,-0.01634,0.00025,-0.00369,-0.00168,0.00039,-0.00037,0.00101,0.00039,-0.00037,0.00101,-0.0,-0.0,0.0,-0.23035,0.00035,-0.00612,-2e-05,0.01106,-0.0035,0.00449,-0.00014,-0.00539,0.00449,-0.00014,-0.00539,-2e-05,1e-05,-2e-05,-0.85477,-0.92858,0.28916
2274,0.00081,-0.00027,-0.0003,0.04068,-0.00955,-0.01481,0.13365,-0.13017,-0.18796,0.00345,0.00019,0.00193,0.00073,-0.00123,-0.00012,0.00129,-0.0011,0.00062,-0.00339,-0.0076,-0.00274,-0.00115,0.00221,0.00504,-0.00235,0.00094,0.00314,-0.00581,-0.00458,-0.00976,0.0047,-0.02071,-0.00854,-0.0038,-0.00564,3e-05,0.0016,0.00012,0.00038,0.0016,0.00012,0.00038,-1e-05,2e-05,0.0,-0.24972,0.00368,-0.02855,0.002,0.01231,-0.00655,0.00781,-0.00072,-0.0057,0.00781,-0.00072,-0.0057,-5e-05,-1e-05,-2e-05,-0.94031,-1.21704,0.14933
2275,0.00093,6e-05,-0.00027,0.0465,0.0032,-0.01377,0.09537,-0.15484,-0.22625,0.00472,-0.00131,0.00143,-0.00128,-0.00222,-0.00079,0.00214,-0.0004,0.00053,-0.00217,-0.00849,-0.00583,-0.00091,0.00438,0.00379,-0.00092,0.00039,0.00348,-0.00285,-0.0109,-0.01477,0.02107,-0.02062,-0.00595,-0.00793,-0.00614,0.00068,0.00151,0.00069,-6e-05,0.00151,0.00069,-6e-05,-1e-05,3e-05,0.0,-0.26012,-0.00037,-0.02824,0.00236,0.01283,-0.00655,0.00917,-0.00104,-0.00444,0.00917,-0.00104,-0.00444,-3e-05,-2e-05,-1e-05,-1.17684,-1.51749,0.02029
2276,0.00086,0.00026,-0.0002,0.04297,0.01089,-0.01038,0.1227,-0.15793,-0.20615,0.00518,-0.00207,-0.00053,-0.00216,-0.00121,-0.00119,0.00216,0.00032,0.00045,-0.00131,-0.007,-0.0068,-0.0029,0.00354,1e-05,0.00177,-0.00231,0.00254,-0.00152,-0.01305,-0.01458,0.01716,-0.01903,-0.00753,-0.0095,-0.00609,0.00058,0.00032,0.00098,0.00036,0.00032,0.00098,0.00036,-0.0,2e-05,0.0,-0.27376,-0.0088,-0.01078,0.00358,0.01037,-0.0046,0.00879,-0.00075,-0.00232,0.00879,-0.00075,-0.00232,2e-05,-1e-05,-1e-05,-1.54453,-1.62682,0.04394
2277,0.00064,0.00022,-7e-05,0.03205,0.00899,-0.00393,0.23132,-0.13246,-0.14823,0.00499,-0.00204,-0.00212,-0.0012,-1e-05,-0.00182,0.0014,0.00041,-0.0002,-0.00032,-0.00469,-0.00606,-0.00438,0.00172,-0.00306,0.00334,-0.00451,0.0016,-0.00294,-0.00844,-0.00955,-0.01246,-0.02349,-0.01114,-0.00726,-0.0059,-0.00014,-0.00095,0.00093,0.00108,-0.00095,0.00093,0.00108,1e-05,0.0,0.0,-0.30044,-0.01432,0.00502,0.00712,0.00479,-0.00329,0.00813,-7e-05,-0.0003,0.00813,-7e-05,-0.0003,8e-05,-0.0,0.0,-1.94497,-1.50557,0.17737
2278,0.0005,4e-05,5e-05,0.02499,0.00137,0.0022,0.33639,-0.09199,-0.1059,0.00537,-0.00171,-0.00239,0.00043,0.00019,-0.00272,0.00049,1e-05,-0.00122,0.00104,-0.00338,-0.00465,-0.00278,0.00078,-0.00313,0.00308,-0.00404,0.00117,-0.00446,-0.00134,-0.00453,-0.05213,-0.03787,-0.01538,-0.00282,-0.00512,-0.00144,-0.0018,0.00087,0.00107,-0.0018,0.00087,0.00107,2e-05,-1e-05,0.0,-0.33116,-0.01301,0.01109,0.01219,-0.00175,-0.00355,0.00773,0.00055,0.00074,0.00773,0.00055,0.00074,0.00011,1e-05,0.0,-2.22837,-1.3017,0.28554
2279,0.00059,-0.0001,0.00011,0.02965,-0.00439,0.00546,0.3508,-0.07218,-0.09268,0.00603,-0.00136,-0.00202,0.00115,-9e-05,-0.00335,-0.00017,-0.00029,-0.00194,0.00221,-0.00408,-0.00314,0.00166,-0.00012,-0.00094,0.00202,-0.0012,0.00038,-0.00477,0.0023,-0.00197,-0.08035,-0.05314,-0.01848,0.00033,-0.00371,-0.00275,-0.00216,0.00095,2e-05,-0.00216,0.00095,2e-05,2e-05,-2e-05,-0.0,-0.35028,-0.00451,0.01224,0.01618,-0.0071,-0.0044,0.00738,0.00092,0.00029,0.00738,0.00092,0.00029,0.00011,1e-05,0.0,-2.36317,-1.18533,0.32297
2280,0.00084,-0.00011,0.00012,0.04201,-0.00499,0.00618,0.28752,-0.10123,-0.097,0.00549,-0.00116,-0.00199,0.00046,-8e-05,-0.00333,-0.0005,-0.00015,-0.00196,0.00313,-0.00636,-0.00191,0.0064,-0.00221,0.00089,0.00085,0.00222,-0.00148,-0.00465,0.00122,-0.00069,-0.08431,-0.05589,-0.01834,-0.00022,-0.00273,-0.00306,-0.00203,0.001,-0.0014,-0.00203,0.001,-0.0014,2e-05,-1e-05,-1e-05,-0.3545,0.01088,0.01237,0.01678,-0.01091,-0.00503,0.00706,0.00124,-0.00093,0.00706,0.00124,-0.00093,8e-05,2e-05,-0.0,-2.4638,-1.2328,0.3304
