Unnamed: 0_level_0,RTOES_DIST,RTOES_DIST,RTOES_DIST,LTOES_DIST,LTOES_DIST,LTOES_DIST,RTOES_PROX,RTOES_PROX,RTOES_PROX,LTOES_PROX,LTOES_PROX,LTOES_PROX,RFTS_DIST,RFTS_DIST,RFTS_DIST,LFTS_DIST,LFTS_DIST,LFTS_DIST,RFTS_PROX,RFTS_PROX,RFTS_PROX,LFTS_PROX,LFTS_PROX,LFTS_PROX
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
915,0.32742,0.25072,0.00522,-0.02556,0.71933,0.02168,0.30029,0.20763,0.00913,-0.02142,0.6739,0.04465,0.33088,0.19772,0.01585,-0.0549,0.68218,0.0515,0.22499,0.02996,0.02056,-0.0395,0.49118,0.11722
916,0.32757,0.2508,0.00544,-0.02587,0.72527,0.02049,0.30046,0.20767,0.0091,-0.02194,0.67936,0.04254,0.3311,0.19775,0.01561,-0.05533,0.68776,0.04969,0.22531,0.02994,0.02057,-0.04095,0.4956,0.11217
917,0.32774,0.25106,0.00533,-0.02576,0.73097,0.01882,0.30069,0.20791,0.00929,-0.02209,0.68477,0.04029,0.33137,0.198,0.01564,-0.05537,0.69333,0.04775,0.22571,0.03011,0.02066,-0.04228,0.50008,0.1071
918,0.32786,0.25137,0.00519,-0.02475,0.73684,0.01768,0.30088,0.20822,0.00947,-0.02155,0.69016,0.03816,0.33156,0.19834,0.01583,-0.05469,0.69899,0.04592,0.22606,0.03035,0.02088,-0.04363,0.50462,0.10193
919,0.32791,0.25161,0.00515,-0.02283,0.74271,0.01735,0.30095,0.20844,0.00947,-0.02035,0.69527,0.03612,0.33162,0.19862,0.016,-0.05333,0.70446,0.04413,0.22626,0.03054,0.0211,-0.04506,0.509,0.0967
920,0.32792,0.25179,0.00507,-0.02043,0.74785,0.01712,0.30095,0.20863,0.00942,-0.01877,0.69971,0.03411,0.33158,0.19883,0.01617,-0.05163,0.70926,0.04221,0.22623,0.03074,0.02112,-0.0464,0.51283,0.09148
921,0.32795,0.252,0.00486,-0.01783,0.75186,0.01613,0.30094,0.20891,0.00957,-0.01693,0.70337,0.03216,0.33152,0.19907,0.0165,-0.04975,0.71318,0.04008,0.22596,0.0311,0.02082,-0.04736,0.51596,0.0863
922,0.3281,0.25218,0.00471,-0.01511,0.75496,0.01454,0.30101,0.20918,0.00982,-0.01489,0.70636,0.03025,0.33153,0.19927,0.01688,-0.04775,0.71636,0.03776,0.22558,0.03152,0.02038,-0.04788,0.51851,0.08126
923,0.32836,0.25221,0.00481,-0.0125,0.75759,0.01335,0.30114,0.20928,0.00985,-0.01292,0.70877,0.02835,0.33161,0.1993,0.01703,-0.04583,0.71893,0.03544,0.22525,0.0318,0.02009,-0.0482,0.52057,0.07651
924,0.32862,0.25211,0.005,-0.01044,0.75974,0.01303,0.30127,0.20921,0.00958,-0.01139,0.71051,0.02661,0.3317,0.19917,0.01686,-0.04427,0.72085,0.03358,0.22495,0.03192,0.02003,-0.04854,0.52198,0.07195
925,0.32875,0.25198,0.00494,-0.00914,0.76107,0.01296,0.30129,0.20913,0.00927,-0.01045,0.7115,0.02525,0.3317,0.19904,0.01656,-0.04324,0.72196,0.03245,0.22459,0.03203,0.02009,-0.04892,0.5225,0.06739
926,0.32859,0.25191,0.00453,-0.00857,0.76137,0.01251,0.30108,0.20911,0.00904,-0.01005,0.71168,0.02423,0.33149,0.19898,0.01627,-0.04275,0.72216,0.03182,0.22412,0.03215,0.02026,-0.04928,0.52209,0.06288
927,0.32813,0.25184,0.00409,-0.00877,0.76076,0.01186,0.3006,0.20907,0.00874,-0.01028,0.71098,0.02319,0.33103,0.19894,0.01589,-0.04293,0.72139,0.03109,0.22357,0.03219,0.02059,-0.04973,0.52081,0.05867
928,0.32766,0.25175,0.00388,-0.00973,0.75938,0.01149,0.30008,0.20899,0.00837,-0.01119,0.70939,0.02185,0.33052,0.19885,0.01546,-0.04383,0.71967,0.02995,0.22292,0.03221,0.02106,-0.05039,0.51874,0.05497
929,0.32753,0.25169,0.00381,-0.01104,0.75745,0.01133,0.29983,0.20901,0.00827,-0.0124,0.70723,0.02051,0.33025,0.1988,0.01536,-0.04509,0.71732,0.02865,0.22221,0.03247,0.02144,-0.05107,0.51613,0.05163
930,0.32788,0.25178,0.00373,-0.01207,0.75553,0.01114,0.29999,0.20926,0.00853,-0.01331,0.70517,0.01958,0.33035,0.1989,0.01566,-0.04609,0.71506,0.02758,0.22147,0.03311,0.02156,-0.05151,0.51362,0.04837
931,0.32854,0.25198,0.00367,-0.0124,0.75421,0.0109,0.30038,0.20967,0.0087,-0.01361,0.70379,0.01898,0.33066,0.1991,0.01583,-0.0465,0.71351,0.02675,0.22067,0.03404,0.02153,-0.05166,0.51184,0.04519
932,0.32918,0.25219,0.00366,-0.01211,0.75367,0.01074,0.30071,0.21004,0.00836,-0.01333,0.70317,0.01836,0.33093,0.19928,0.01549,-0.04629,0.71278,0.02596,0.21985,0.03496,0.02155,-0.05139,0.51092,0.04225
933,0.32956,0.25228,0.00364,-0.01156,0.75374,0.01063,0.30086,0.21022,0.00772,-0.01271,0.70315,0.01757,0.33103,0.19937,0.01492,-0.04571,0.71262,0.02516,0.21922,0.03558,0.02177,-0.05043,0.51061,0.03955
934,0.32967,0.25228,0.00356,-0.01113,0.75441,0.01055,0.30087,0.21025,0.00722,-0.01198,0.70371,0.01672,0.331,0.19941,0.01458,-0.04502,0.71291,0.02445,0.21894,0.03582,0.02221,-0.04856,0.51074,0.03681
935,0.32972,0.25227,0.00343,-0.01097,0.75587,0.01052,0.30089,0.21025,0.00705,-0.01128,0.70507,0.01584,0.33098,0.19945,0.01462,-0.04439,0.71384,0.0238,0.21886,0.03593,0.02277,-0.04583,0.51151,0.03378
