Unnamed: 0_level_0,FullBody_CoG_pos,FullBody_CoG_pos,FullBody_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_CoG_pos,Head_CoG_pos,Head_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
915,0.1633,0.32113,0.9915,0.13252,0.59317,1.48129,0.33198,0.47998,1.4595,0.05563,0.5234,1.29453,0.38313,0.38683,1.27822,0.00877,0.42101,1.29446,0.37818,0.29105,1.28497,0.20082,0.35954,1.62169,0.18996,0.31233,1.60572,0.16338,0.29108,1.24048,0.14962,0.25582,0.94257,0.06669,0.41658,0.76885,0.24721,0.2312,0.73152,0.015,0.56832,0.38683,0.2564,0.1558,0.30145,-0.03599,0.59747,0.08011,0.27475,0.12879,0.01818,-0.04856,0.6035,0.07857,0.28856,0.13067,0.01773
916,0.16324,0.32185,0.99075,0.13478,0.60397,1.48036,0.3328,0.48108,1.45845,0.05772,0.5299,1.29533,0.3834,0.38668,1.27767,0.0101,0.42348,1.29567,0.37829,0.28985,1.28451,0.20119,0.3602,1.6211,0.19061,0.31291,1.60517,0.16286,0.29166,1.2401,0.14964,0.25696,0.94209,0.06667,0.41613,0.76686,0.24725,0.23208,0.7312,0.01447,0.56829,0.38292,0.2567,0.15625,0.30126,-0.03687,0.60246,0.0768,0.27501,0.1288,0.01812,-0.04941,0.6086,0.07543,0.28882,0.13068,0.01759
917,0.16315,0.32276,0.98991,0.13804,0.61448,1.47816,0.33358,0.4816,1.4577,0.05977,0.5364,1.29526,0.38334,0.38655,1.27702,0.01136,0.42633,1.2963,0.37785,0.28871,1.28378,0.2015,0.36109,1.62047,0.19102,0.31374,1.60464,0.16237,0.29242,1.23961,0.1496,0.2584,0.94164,0.06657,0.41585,0.76476,0.24725,0.23319,0.73099,0.01396,0.56834,0.3789,0.25697,0.1569,0.3012,-0.03749,0.60746,0.07341,0.27534,0.12901,0.01823,-0.04998,0.61372,0.0722,0.28914,0.1309,0.01765
918,0.16306,0.32377,0.98901,0.1422,0.62426,1.47486,0.33431,0.48106,1.45726,0.062,0.54247,1.29441,0.38301,0.38617,1.27619,0.01253,0.42934,1.29649,0.37693,0.28774,1.28276,0.20183,0.36198,1.61978,0.19116,0.31463,1.60409,0.16195,0.29321,1.23901,0.14941,0.26021,0.94125,0.06639,0.41585,0.76259,0.24726,0.23447,0.73087,0.01351,0.56846,0.37481,0.25724,0.15769,0.30124,-0.03771,0.61249,0.07004,0.27559,0.12929,0.01843,-0.05014,0.61892,0.069,0.28939,0.13119,0.01785
919,0.1629,0.32487,0.98801,0.14664,0.63294,1.47092,0.33464,0.4798,1.45694,0.06419,0.54773,1.29307,0.38255,0.38559,1.27529,0.01352,0.43239,1.29639,0.37574,0.28713,1.2816,0.20219,0.36274,1.61903,0.19117,0.31545,1.60341,0.16154,0.29403,1.2383,0.14898,0.26229,0.94079,0.06613,0.41614,0.76038,0.24721,0.23592,0.73065,0.01313,0.56853,0.37065,0.25746,0.15862,0.30121,-0.0376,0.6173,0.06668,0.27571,0.12952,0.01856,-0.04992,0.62393,0.06579,0.28951,0.13143,0.01804
920,0.16266,0.32604,0.98688,0.15047,0.63996,1.46702,0.33433,0.47848,1.45659,0.0658,0.55208,1.29152,0.38208,0.38504,1.27449,0.01418,0.43555,1.29598,0.37455,0.28686,1.28052,0.20259,0.36337,1.6182,0.19124,0.31618,1.60252,0.16108,0.295,1.23746,0.14832,0.26446,0.94012,0.06583,0.41662,0.75807,0.247,0.2375,0.73018,0.01277,0.56845,0.36645,0.25754,0.15967,0.30097,-0.03725,0.62151,0.06331,0.27567,0.12973,0.01859,-0.04947,0.62834,0.06251,0.28947,0.13165,0.01815
921,0.16233,0.32728,0.98561,0.15319,0.64473,1.46381,0.33365,0.47749,1.45598,0.06641,0.55551,1.29,0.38162,0.38459,1.27364,0.01438,0.43879,1.29519,0.37342,0.28669,1.27947,0.20299,0.364,1.61727,0.19146,0.31691,1.60143,0.16061,0.29626,1.23653,0.14763,0.26653,0.93917,0.06553,0.4172,0.75567,0.24667,0.23913,0.72949,0.0123,0.56818,0.36229,0.25741,0.16078,0.30052,-0.03663,0.62494,0.05994,0.27552,0.13003,0.01859,-0.04876,0.63193,0.05912,0.28933,0.13194,0.01822
922,0.16198,0.32856,0.98426,0.15481,0.64708,1.46166,0.33323,0.4768,1.45483,0.06613,0.558,1.28873,0.38105,0.38403,1.27238,0.01409,0.44183,1.2941,0.37227,0.28636,1.27828,0.20331,0.36472,1.6162,0.19177,0.31765,1.60027,0.16015,0.29786,1.2355,0.14705,0.26847,0.93805,0.06518,0.41779,0.75322,0.24638,0.24077,0.72871,0.0116,0.56783,0.35826,0.25718,0.16188,0.29999,-0.03575,0.62775,0.05661,0.27537,0.13035,0.01857,-0.04781,0.63485,0.05568,0.28918,0.13222,0.01828
923,0.16158,0.32988,0.98289,0.15542,0.6473,1.4607,0.33332,0.47642,1.45319,0.06548,0.55954,1.28775,0.3803,0.38329,1.2707,0.01351,0.44437,1.2928,0.37101,0.28582,1.27697,0.20351,0.36555,1.615,0.19199,0.31844,1.59919,0.15966,0.29971,1.23439,0.14659,0.27038,0.93692,0.06471,0.41843,0.75085,0.24617,0.24239,0.72799,0.01071,0.56744,0.35447,0.25699,0.16292,0.29951,-0.03482,0.63,0.0534,0.27528,0.13051,0.01849,-0.0468,0.63721,0.05236,0.2891,0.13235,0.01825
