Unnamed: 0_level_0,R_HEEL,R_HEEL,R_HEEL,L_HEEL,L_HEEL,L_HEEL
ITEM,X,Y,Z,X,Y,Z
445,0.23962,0.07184,0.12459,-0.01384,0.41784,0.00789
446,0.24057,0.07106,0.12375,-0.01399,0.41809,0.00772
447,0.2416,0.07,0.12277,-0.01403,0.41834,0.00762
448,0.24266,0.06864,0.12154,-0.01389,0.41845,0.00769
449,0.24379,0.06699,0.12002,-0.01359,0.41847,0.00792
450,0.24492,0.06512,0.11835,-0.01324,0.41856,0.00811
451,0.24582,0.06311,0.11673,-0.01292,0.41884,0.00806
452,0.24641,0.06101,0.11516,-0.01262,0.41918,0.00785
453,0.24694,0.05887,0.1135,-0.01243,0.41934,0.00773
454,0.24755,0.05684,0.11164,-0.01247,0.41929,0.00786
455,0.24822,0.05514,0.10954,-0.01276,0.41928,0.0082
456,0.24888,0.0538,0.1071,-0.01318,0.41946,0.00852
457,0.2494,0.05258,0.10422,-0.01357,0.41966,0.00863
458,0.24959,0.0512,0.10088,-0.01397,0.41958,0.00852
459,0.24944,0.04962,0.09709,-0.01441,0.41921,0.0084
460,0.24916,0.04797,0.09299,-0.01467,0.41883,0.00838
461,0.249,0.04636,0.08891,-0.01445,0.4187,0.00844
462,0.24891,0.04475,0.08526,-0.01389,0.41889,0.00844
463,0.24869,0.04309,0.08208,-0.01346,0.41924,0.00834
464,0.24823,0.04141,0.07906,-0.01349,0.41949,0.0082
465,0.24755,0.03977,0.07596,-0.01392,0.41941,0.00818
466,0.24662,0.03823,0.0728,-0.01441,0.41907,0.00839
467,0.24535,0.03686,0.06954,-0.01462,0.41877,0.00873
468,0.24384,0.03575,0.06601,-0.0145,0.41879,0.00901
469,0.24241,0.03481,0.06222,-0.01433,0.41902,0.00917
470,0.24138,0.03385,0.05847,-0.01431,0.41926,0.0092
471,0.24064,0.03283,0.05505,-0.01443,0.41939,0.00898
472,0.23978,0.03189,0.052,-0.01458,0.41944,0.00859
