Unnamed: 0_level_0,RTOES_DIST,RTOES_DIST,RTOES_DIST,LTOES_DIST,LTOES_DIST,LTOES_DIST,RTOES_PROX,RTOES_PROX,RTOES_PROX,LTOES_PROX,LTOES_PROX,LTOES_PROX,RFTS_DIST,RFTS_DIST,RFTS_DIST,LFTS_DIST,LFTS_DIST,LFTS_DIST,RFTS_PROX,RFTS_PROX,RFTS_PROX,LFTS_PROX,LFTS_PROX,LFTS_PROX
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2294,0.32127,0.26691,0.00212,-0.00146,0.68152,0.00668,0.29719,0.22206,0.00628,0.00481,0.63087,0.00892,0.32851,0.2145,0.01272,-0.02938,0.63497,0.01602,0.2347,0.04001,0.02418,-0.00442,0.43397,0.01998
2295,0.32053,0.26739,0.0022,-0.00115,0.68115,0.00611,0.29653,0.22248,0.00613,0.00501,0.63049,0.00826,0.32787,0.21504,0.01262,-0.0292,0.63467,0.01525,0.23449,0.04039,0.02503,-0.00467,0.43364,0.01978
2296,0.31974,0.26772,0.00194,-0.00077,0.68097,0.00541,0.29585,0.2228,0.00638,0.00526,0.63032,0.00808,0.32723,0.21542,0.01278,-0.02899,0.63457,0.01482,0.23418,0.04064,0.02591,-0.00491,0.43348,0.0194
2297,0.3193,0.26788,0.00151,-0.00057,0.68109,0.00493,0.29546,0.22301,0.00671,0.00536,0.63046,0.00826,0.32687,0.21563,0.01297,-0.02894,0.63472,0.01472,0.23387,0.04088,0.02668,-0.00508,0.4336,0.01894
2298,0.31942,0.268,0.00117,-0.00057,0.68143,0.0048,0.29553,0.22321,0.00676,0.00531,0.63082,0.00837,0.32692,0.2158,0.01301,-0.02901,0.63507,0.01469,0.23361,0.04125,0.02733,-0.00523,0.43393,0.01863
2299,0.31994,0.26823,0.00106,-0.00063,0.6818,0.0049,0.29589,0.22351,0.00657,0.00525,0.63117,0.00822,0.32725,0.21605,0.01298,-0.02906,0.63544,0.01463,0.23344,0.04184,0.02803,-0.00538,0.43429,0.01852
2300,0.32051,0.2686,0.00112,-0.00059,0.68205,0.00495,0.2963,0.22393,0.00639,0.00527,0.6314,0.00802,0.32759,0.21647,0.01309,-0.029,0.63571,0.01462,0.23331,0.04258,0.02896,-0.00548,0.43454,0.01849
2301,0.32088,0.26903,0.00115,-0.00042,0.68211,0.00481,0.29656,0.22442,0.00635,0.00536,0.63146,0.00787,0.32779,0.21698,0.01334,-0.02887,0.63583,0.01461,0.23316,0.04337,0.03014,-0.00569,0.43462,0.01853
2302,0.32095,0.26941,0.00105,-0.00016,0.68202,0.00452,0.29657,0.22484,0.00631,0.00546,0.63134,0.00753,0.32777,0.21744,0.0135,-0.02874,0.63585,0.01435,0.23296,0.04406,0.03154,-0.00624,0.43458,0.01885
