Unnamed: 0_level_0,L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3820,-0.1234,-0.0,-0.0,-10.59409,-0.0,-0.0,7.52618,-5.08556,8.33734,-12.82511,8.47629,-9.28737,-21.02384,2.81882,0.00035,-53.41586,-1.10668,0.0014,25.45598,0.02707,5.01913,22.24936,-11.93507,-5.70197,-13.1573,18.73583,-15.59309,-5.96452,-17.06527,11.88036,31.68539,-0.00066,-110.16844,30.61465,0.00057,99.74807,4.53978,-6.90518,0.00056,3.27266,6.34197,-0.0016,-20.12296,0.0486,-2.58873,-41.83543,1.0034,-2.38697,1.71296,-3.37477,2.79734
3821,-0.55536,0.0,0.0,-8.51095,0.0,0.0,7.58598,-4.826,7.92095,-11.91471,8.19859,-10.0017,-20.69018,2.92435,0.00055,-53.95084,-1.24404,0.00139,25.15362,0.12596,5.36979,22.83858,-11.8335,-6.07186,-12.98634,18.66816,-15.75953,-5.93213,-17.23486,11.90484,31.50713,-6e-05,-110.16418,30.91928,0.00694,98.60647,4.64477,-7.01364,-0.00068,3.32009,6.20921,-0.00135,-20.14861,-0.06606,-2.56652,-41.86073,0.88866,-2.40877,1.62021,-3.10829,2.61244
3822,-0.60077,0.0,0.0,-6.73657,-0.0,-0.0,7.57635,-4.4896,7.50121,-11.15774,7.66242,-10.43443,-20.36469,3.02206,0.00021,-54.40618,-1.37835,0.00044,24.89843,0.18146,5.73773,23.46892,-11.78832,-6.44343,-12.75766,18.63328,-15.84433,-5.88216,-17.38338,11.88976,31.32215,5e-05,-110.24899,31.26658,0.00915,96.75159,5.01773,-7.27471,-0.00185,3.02554,6.10674,-0.00047,-20.28646,-0.16276,-2.47751,-41.99943,0.76589,-2.36184,1.54114,-2.89843,2.46774
3823,-0.19771,0.0,-0.0,-5.89095,0.0,0.0,7.40731,-4.21469,7.24635,-10.25749,7.26594,-10.86846,-20.04136,3.03478,-0.00034,-54.75687,-1.35603,-0.00064,24.65098,0.18135,6.00484,24.10042,-11.79732,-6.49705,-12.44482,18.70694,-15.82094,-5.73736,-17.43247,11.78103,31.16884,6e-05,-110.59341,31.56387,0.00372,95.23404,5.38082,-7.47725,-0.00108,2.56031,5.81709,0.00034,-20.42439,-0.23967,-2.29567,-42.13971,0.62716,-2.22135,1.39043,-2.85594,2.36519
3824,0.43201,-0.0,-0.0,-6.03114,0.0,0.0,7.08642,-4.11262,7.1421,-9.0826,7.23184,-11.55074,-19.72217,2.96899,-0.00043,-54.94528,-1.11524,-0.00054,24.4132,0.16293,6.14496,24.68242,-11.80543,-6.17073,-12.04986,18.89586,-15.67023,-5.53608,-17.37915,11.5918,31.07463,0.00049,-111.21967,31.82594,-0.00375,95.07607,5.68895,-7.52527,-0.0002,2.22281,5.25853,-0.00091,-20.50243,-0.29811,-2.07892,-42.22053,0.49267,-2.04159,1.19055,-2.94667,2.24506
3825,0.89108,0.0,0.0,-6.51802,0.0,0.0,6.78184,-4.27346,7.04738,-7.74634,7.3995,-12.3618,-19.46339,2.90068,5e-05,-54.94418,-0.80783,0.00041,24.20671,0.17153,6.28534,25.18618,-11.7818,-5.72468,-11.6019,19.14696,-15.48551,-5.38055,-17.30252,11.41798,31.01328,0.0004,-111.99621,32.15195,-0.00752,96.09358,6.04347,-7.49509,6e-05,2.05918,4.61038,-0.00177,-20.5708,-0.33995,-1.95206,-42.2904,0.40685,-1.93922,1.00963,-3.05964,2.11991
3826,0.97157,0.0,-0.0,-6.80013,-0.0,-0.0,6.66659,-4.7437,6.96635,-6.36883,7.54318,-13.00378,-19.31724,2.8687,0.00054,-54.778,-0.66139,0.00075,24.03002,0.2299,6.50925,25.60867,-11.73596,-5.47765,-11.12111,19.38296,-15.43193,-5.28775,-17.28054,11.32998,30.91372,-0.0008,-112.83298,32.54251,-0.00457,97.11098,6.37159,-7.38911,-0.0002,1.8694,3.99969,0.00027,-20.71469,-0.38724,-1.99295,-42.43366,0.37806,-1.99472,0.87013,-3.10363,2.07591
3827,0.79707,0.0,0.0,-6.85959,-0.0,-0.0,6.74295,-5.35067,7.03638,-5.00007,7.66855,-13.3866,-19.21515,2.82991,0.00056,-54.46075,-0.74434,0.00025,23.84777,0.33495,6.74485,25.96126,-11.67342,-5.52566,-10.634,19.53521,-15.53626,-5.14739,-17.3199,11.30095,30.74591,-0.00165,-113.68039,32.8337,-0.00074,97.17848,6.38522,-7.13554,-0.00145,1.56884,3.33862,0.00264,-20.93442,-0.48773,-2.09393,-42.65182,0.32207,-2.12571,0.76106,-3.04815,2.13536
3828,0.53179,0.0,0.0,-6.78309,-0.0,-0.0,6.89734,-5.66902,7.25376,-3.74771,7.91507,-13.63267,-18.99285,2.70675,-0.00031,-53.94786,-0.97114,-0.00082,23.60554,0.49089,6.89072,26.23806,-11.55361,-5.7697,-10.18533,19.57348,-15.62532,-4.86164,-17.37225,11.26041,30.56417,-0.00087,-114.37662,32.9133,-0.00091,96.2873,5.9004,-6.8226,-0.00192,1.29846,2.65881,0.00209,-21.15211,-0.67396,-2.05318,-42.8698,0.13397,-2.15677,0.68223,-2.90363,2.22179
