Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3820,0.01154,0.63707,1.52297,-0.00767,0.54956,0.07872,0.25139,0.26849,0.21247,-0.00206,0.62524,0.48922,0.25265,0.56936,0.50178,-0.02277,0.54629,0.91637,0.14565,0.52617,0.9209,-0.14749,0.61011,1.39942,0.19732,0.59333,1.41914,-0.22944,0.49235,1.14734,0.2952,0.49667,1.16589,-0.24597,0.51278,0.88583,0.35494,0.54175,0.92084
3821,0.01154,0.63847,1.52308,-0.00763,0.54936,0.0785,0.25052,0.27547,0.21265,-0.00228,0.62435,0.48913,0.25321,0.57528,0.50304,-0.02284,0.54699,0.91659,0.14559,0.52704,0.92146,-0.14826,0.61198,1.40022,0.1969,0.59367,1.41955,-0.23063,0.49523,1.14781,0.29483,0.49698,1.16633,-0.24725,0.51565,0.8863,0.35448,0.54338,0.92151
3822,0.01186,0.63939,1.52351,-0.00729,0.54944,0.07831,0.24985,0.28282,0.21236,-0.00231,0.6236,0.4891,0.25399,0.58105,0.50435,-0.02292,0.54766,0.9168,0.1455,0.52773,0.92193,-0.14882,0.61389,1.40099,0.19641,0.59374,1.42002,-0.23167,0.4984,1.14815,0.29438,0.49704,1.16682,-0.24861,0.51909,0.88669,0.35399,0.54501,0.92229
3823,0.01238,0.63996,1.52409,-0.00677,0.5498,0.07825,0.24953,0.29025,0.21162,-0.00232,0.62295,0.48922,0.25471,0.58645,0.50566,-0.02305,0.54829,0.91715,0.14534,0.52812,0.92233,-0.14909,0.61574,1.4016,0.19586,0.59355,1.42057,-0.23257,0.50169,1.14832,0.29377,0.49692,1.16732,-0.25003,0.52301,0.88694,0.35364,0.54638,0.92315
3824,0.01278,0.64043,1.52463,-0.00637,0.55025,0.07831,0.24952,0.29756,0.21039,-0.00247,0.62231,0.48948,0.25511,0.5913,0.50688,-0.02317,0.54887,0.91762,0.14519,0.52837,0.92273,-0.14911,0.61734,1.40205,0.19532,0.59343,1.42107,-0.23339,0.50494,1.1483,0.29305,0.4968,1.16775,-0.25156,0.52743,0.88707,0.35342,0.54761,0.92398
3825,0.01281,0.64095,1.52519,-0.00637,0.55056,0.07841,0.24969,0.30466,0.20857,-0.00282,0.62179,0.48973,0.25522,0.5955,0.5079,-0.02324,0.5494,0.91806,0.14508,0.5286,0.92308,-0.14894,0.61863,1.40244,0.19493,0.5937,1.42142,-0.2342,0.5082,1.14815,0.29245,0.49689,1.16809,-0.25322,0.53233,0.88712,0.35317,0.54914,0.92471
3826,0.01255,0.64146,1.52593,-0.00677,0.55071,0.07841,0.25,0.31157,0.2061,-0.00327,0.62162,0.48979,0.25534,0.59902,0.50869,-0.02327,0.54995,0.91826,0.145,0.52871,0.92325,-0.14858,0.61969,1.40283,0.19484,0.59429,1.42171,-0.23495,0.51158,1.14791,0.29214,0.49731,1.16836,-0.25481,0.53743,0.88711,0.35286,0.55122,0.92535
3827,0.01248,0.64192,1.52682,-0.0072,0.55086,0.07826,0.25059,0.31844,0.20307,-0.00367,0.62164,0.48966,0.25566,0.60196,0.50935,-0.02323,0.55057,0.91825,0.14495,0.52872,0.92331,-0.14811,0.62066,1.40325,0.19497,0.59473,1.42219,-0.23547,0.51503,1.14763,0.29205,0.49808,1.16862,-0.25604,0.54239,0.88704,0.35263,0.55364,0.92595
3828,0.01305,0.64241,1.52759,-0.00714,0.5511,0.07793,0.25159,0.3255,0.19961,-0.00397,0.62135,0.48942,0.25604,0.60449,0.51004,-0.02306,0.55138,0.91821,0.14504,0.52891,0.9235,-0.14773,0.62172,1.40371,0.19508,0.59472,1.4229,-0.23571,0.51842,1.14736,0.29192,0.49918,1.16882,-0.25677,0.54713,0.88695,0.35258,0.55622,0.92651
3829,0.01413,0.64305,1.52807,-0.00642,0.55137,0.07745,0.25297,0.33283,0.19578,-0.00422,0.62044,0.48915,0.25618,0.60663,0.5108,-0.02266,0.55246,0.91829,0.14536,0.52953,0.92403,-0.14765,0.62292,1.40419,0.19504,0.59441,1.42361,-0.23575,0.5217,1.14705,0.2916,0.50041,1.16886,-0.25712,0.55193,0.88685,0.35258,0.55911,0.92702
