Unnamed: 0_level_0,L_TO_ANGLE,L_TO_ANGLE,L_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,L_FT_ANGLE,L_FT_ANGLE,L_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,L_SK_ANGLE,L_SK_ANGLE,L_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,L_TH_ANGLE,L_TH_ANGLE,L_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,L_AR_ANGLE,L_AR_ANGLE,L_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,L_FA_ANGLE,L_FA_ANGLE,L_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2765,-9.24137,-0.60103,5.6413,-2.86198,3.79472,-35.40071,-6.536,-0.33323,5.66336,-1.32175,2.70002,-35.48797,-6.53599,-0.33323,5.66336,-1.32176,2.70003,-35.48797,-3.54344,7.20811,-6.08239,-18.01921,2.40077,-30.21431,25.38122,3.13423,-8.68989,-7.91229,-1.5075,-30.45709,-8.85056,1.25036,-17.70794,-4.14979,-0.1591,-9.841,-2.19806,1.03009,-6.01259,-23.83977,3.1803,-5.20788,23.03336,5.11474,-17.23116,24.05071,-14.06825,15.54702,140.87794,-17.609,-76.29417,153.37767,20.83567,83.78041,138.97459,-19.45619,-76.96213,155.69046,19.93619,82.98075
2766,-10.5614,-0.91128,5.81314,-2.86971,4.09824,-35.23267,-7.65019,-0.61386,5.8519,-1.10603,2.8523,-35.33959,-7.65019,-0.61386,5.8519,-1.10604,2.8523,-35.33959,-3.86244,7.27142,-6.37376,-17.74314,2.40519,-30.42245,26.3397,3.18723,-9.23171,-7.8494,-1.45265,-30.66279,-8.74639,1.09193,-17.9442,-4.15331,-0.01857,-10.12796,-2.4003,1.04053,-6.13963,-24.0379,3.23684,-5.32228,22.67138,5.27337,-17.60586,24.09314,-14.0251,15.26644,139.92105,-18.04866,-80.24849,153.14006,20.59546,83.9011,137.9633,-16.82692,-80.8342,156.4493,19.7558,82.77076
2767,-11.68967,-1.26837,6.01186,-2.991,4.23912,-35.00637,-8.89071,-0.97225,6.0666,-0.99525,2.84064,-35.12961,-8.8907,-0.97225,6.0666,-0.99525,2.84064,-35.12961,-4.13266,7.40477,-6.46117,-17.53264,2.45601,-30.5601,27.31739,3.19359,-9.52172,-7.70958,-1.43434,-30.80132,-8.75148,0.97818,-18.13284,-4.16188,0.14291,-10.41325,-2.65839,0.94503,-6.23817,-24.29059,3.18439,-5.44927,22.56126,5.41363,-17.90587,24.02486,-14.00001,14.89079,139.19577,-18.40043,-83.35515,152.94197,20.2955,84.67367,137.38452,-15.4199,-83.84272,156.79469,19.41035,83.38174
2768,-12.84696,-1.45484,6.14222,-3.18178,4.38122,-34.78229,-10.1379,-1.16185,6.20409,-0.88092,2.78171,-34.92605,-10.1379,-1.16185,6.20409,-0.88092,2.78171,-34.92605,-4.38778,7.54306,-6.42698,-17.37879,2.55909,-30.6222,28.27338,3.18787,-9.67369,-7.53298,-1.44893,-30.86512,-8.76796,0.90937,-18.3568,-4.2088,0.30763,-10.72736,-2.84887,0.85564,-6.32656,-24.47611,3.13387,-5.56455,22.60984,5.46491,-18.03727,23.8923,-13.99659,14.51184,138.75859,-18.55369,-84.86045,152.78973,20.00722,85.56117,136.90923,-15.36815,-85.35318,156.86214,19.25371,84.20651
2769,-14.1533,-1.3151,6.13227,-3.46982,4.62834,-34.56992,-11.24214,-1.00082,6.19112,-0.70363,2.71937,-34.74723,-11.24214,-1.00082,6.19112,-0.70363,2.71937,-34.74723,-4.65445,7.61322,-6.42854,-17.23975,2.69723,-30.62738,29.1869,3.21073,-9.89409,-7.3646,-1.48956,-30.86785,-8.70059,0.81492,-18.67162,-4.2921,0.46661,-11.0692,-2.91481,0.83014,-6.42227,-24.53805,3.14544,-5.66306,22.60786,5.43147,-17.94671,23.81646,-13.99404,14.24432,138.57932,-18.46394,-85.33346,152.7021,19.80367,85.99352,136.55229,-16.22118,-85.90456,156.97952,19.45363,84.5552
2770,-15.50021,-0.95535,6.00769,-3.8526,4.9292,-34.38258,-12.17403,-0.60391,6.05296,-0.50272,2.63168,-34.60355,-12.17403,-0.60391,6.05296,-0.50272,2.63168,-34.60355,-4.89934,7.61995,-6.49346,-17.0965,2.84686,-30.60307,30.04823,3.25518,-10.19993,-7.21926,-1.54665,-30.83595,-8.52669,0.64676,-19.01597,-4.39422,0.62874,-11.43537,-2.92858,0.85121,-6.53386,-24.54814,3.20614,-5.75918,22.3988,5.34898,-17.66027,23.87574,-13.99245,14.12737,138.60684,-18.16325,-85.43995,152.71651,19.71335,86.05747,136.46922,-17.49671,-86.08501,157.30952,19.86473,84.48048
2771,-16.72267,-0.63202,5.84024,-4.18409,5.20409,-34.24224,-13.0505,-0.25537,5.86869,-0.32357,2.56823,-34.50406,-13.0505,-0.25537,5.86869,-0.32358,2.56824,-34.50406,-5.05776,7.62785,-6.54687,-16.97094,2.97701,-30.57369,30.84684,3.27217,-10.4509,-7.08315,-1.61041,-30.79783,-8.28286,0.46812,-19.27645,-4.49887,0.80779,-11.8342,-3.01828,0.9271,-6.67977,-24.63396,3.33044,-5.86702,22.01182,5.1778,-17.3646,23.98622,-14.02327,14.0932,138.8521,-17.80037,-84.82721,152.77379,19.70559,86.05426,136.85767,-18.77742,-85.46505,157.73315,20.17436,84.32652
2772,-17.66044,-0.44995,5.66759,-4.27387,5.34934,-34.12622,-13.98836,-0.08485,5.68473,-0.20313,2.5811,-34.40791,-13.98836,-0.08485,5.68473,-0.20313,2.5811,-34.40791,-5.11058,7.6829,-6.53117,-16.87812,3.06742,-30.58825,31.5776,3.22458,-10.5429,-6.93765,-1.67551,-30.80648,-8.05167,0.39375,-19.42973,-4.59816,0.99674,-12.24852,-3.21981,1.0861,-6.89115,-24.8309,3.55611,-6.00519,21.6233,4.8424,-17.28476,23.95667,-14.10117,14.0468,139.39516,-17.53127,-83.03456,152.72176,19.71909,86.16957,137.85739,-19.83546,-83.55193,157.96599,20.13751,84.34715
2773,-18.30411,-0.328,5.51627,-4.15286,5.31362,-33.99575,-14.95484,-0.00417,5.52598,-0.17109,2.61949,-34.27138,-14.95483,-0.00417,5.52598,-0.1711,2.61949,-34.27138,-5.10961,7.77808,-6.50984,-16.80392,3.13142,-30.67444,32.23931,3.12755,-10.57252,-6.77944,-1.73834,-30.89018,-7.89504,0.45138,-19.55568,-4.6887,1.15829,-12.63293,-3.45047,1.27582,-7.17393,-25.05492,3.83661,-6.19857,21.39633,4.3549,-17.46421,23.6836,-14.19538,13.93406,140.31143,-17.38036,-80.51056,152.48744,19.69487,86.42426,139.21785,-20.70479,-80.90466,157.80846,19.86084,84.60166
