Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1991,5.11408,7.52765,-1.14467,-71.8703,25.7474,5.14559,0.44157,-0.13043,0.24958,-92.6555,40.51648,7.80084,1.92045,18.64464,-3.17051,-64.63419,38.72174,6.47047,-124.18692,41.94195,10.07771,10.53057,-3.09236,-6.58919,2.36173,-3.14081,-1.20327,-5.63201,3.67901,-1.25142,1.15942,-1.66801,-0.58058,-1.35712,-0.53448,-0.96008,0.0897,-0.0971,0.06329,-0.25674,-0.05255,-0.1347
1992,4.9921,7.90359,-1.51128,-71.4088,25.87001,5.56576,-2.38384,2.63097,-0.85274,-96.6254,43.72543,8.78515,1.88564,18.94633,-3.46904,-64.06018,38.57445,6.78042,-137.40105,49.37991,9.73104,21.50636,-12.70816,-4.58869,2.17301,-0.78701,-0.75458,-4.32741,1.91594,-0.49315,1.35452,-1.88263,-0.99084,-0.77751,-1.39294,-0.35335,0.19205,-0.05622,-0.16555,-0.18834,-0.1548,-0.06856
1993,4.06611,7.58176,-1.75249,-71.85969,25.10323,5.64242,-3.32228,4.92299,-1.56466,-99.35336,43.83471,8.52468,1.82524,18.84024,-3.77845,-63.14515,38.12854,6.86528,-141.67105,52.45156,8.09538,23.17813,-15.5724,-3.60156,2.02919,0.13631,-0.53407,-3.22972,0.60356,0.16535,1.26679,-1.84249,-1.12246,-0.24684,-1.80881,0.08029,0.26623,-0.0686,-0.32027,-0.10287,-0.14395,-0.04526
1994,2.77208,6.84877,-1.88269,-74.28729,24.54663,5.63418,-0.84607,5.42806,-1.72199,-103.29131,44.5829,7.77558,1.69519,18.71429,-4.08006,-62.14822,37.71233,6.81499,-136.81029,54.06068,6.88834,7.97076,-13.58221,-3.66615,1.53209,-0.65905,-0.7109,-2.78326,0.94074,-0.23075,0.91356,-1.19515,-0.91611,-0.198,-1.67979,-0.01862,0.24391,-0.02641,-0.3161,-0.08114,-0.08454,-0.09053
1995,2.30625,6.49037,-2.1016,-77.03966,24.14749,5.6878,2.98698,4.55329,-1.83869,-108.92418,48.01513,7.44526,1.51619,18.53564,-4.30168,-61.05312,37.31955,6.77876,-131.66914,58.22186,7.33071,-11.08419,-12.13393,-1.61685,1.18243,-0.72909,-0.18508,-2.65583,1.9587,-1.15253,0.29719,-0.49773,-0.12835,-0.4278,-1.44999,-0.31703,0.09076,0.04559,-0.10919,-0.10639,-0.10641,-0.11771
1996,3.31101,6.56312,-2.42964,-77.87749,23.52595,5.81269,6.01065,2.36043,-1.97114,-113.0842,52.6205,8.13204,1.31882,18.02831,-4.38615,-59.80677,36.76742,6.80371,-130.04724,62.57999,9.88655,-13.50259,-9.60461,2.09294,2.1147,0.39406,1.21562,-3.1989,2.09,-1.28344,-0.39559,-0.56871,1.03389,-0.67108,-1.41333,-0.48151,-0.11551,0.01865,0.20106,-0.13902,-0.20721,-0.08015
1997,3.83071,7.26397,-2.80187,-77.3118,23.17299,5.98458,4.29591,1.96927,-2.03086,-113.69193,54.73777,9.20959,1.02716,17.25248,-4.44834,-58.68565,36.13764,6.80107,-133.57262,63.17971,11.17097,2.98559,-4.63437,3.40087,4.16144,0.70745,2.10852,-4.96166,1.67065,-0.53767,-0.60701,-1.60389,1.67395,-0.92802,-1.50051,-0.56963,-0.19795,-0.18866,0.38746,-0.18193,-0.28086,-0.04037
1998,1.95492,8.67786,-3.17472,-77.1793,23.41248,6.1277,-3.89153,6.36374,-2.20375,-112.60184,53.93827,9.71472,0.60703,16.45926,-4.60322,-57.83219,35.56366,6.68909,-143.34554,62.86636,8.6808,18.85213,-1.00666,0.42692,5.45184,-0.52958,1.10554,-6.35038,2.07387,-0.14924,0.11234,-2.54993,0.8755,-1.04051,-1.43263,-0.58131,-0.04739,-0.41495,0.25751,-0.21515,-0.2325,-0.05606
1999,-0.6114,9.57691,-3.45789,-78.13483,23.82861,6.25064,-11.29129,11.71296,-2.80175,-114.82787,54.31267,9.88225,0.17634,15.69117,-4.75967,-56.89114,34.93644,6.52133,-154.6201,67.20255,5.45277,16.84778,-2.17377,-3.10132,4.68485,-1.71159,-1.1938,-5.09018,2.5686,-0.5173,1.20083,-2.0944,-0.88144,-0.74925,-1.31084,-0.30598,0.19076,-0.36992,-0.08906,-0.18595,-0.10502,-0.08125
