FP1,FP1,FP1,FP2,FP2,FP2
X,Y,Z,X,Y,Z
-6.20919,-79.57301000000002,744.4181500000001,0.0,0.0,0.0
-6.369082837394476,-80.45796482805383,742.7382999277336,0.0,0.0,0.0
-6.512226133727983,-81.30988690760505,740.9899849405324,0.0,0.0,0.0
-6.638039903123689,-82.12860264014776,739.1710232043549,0.0,0.0,0.0
-6.746027976164545,-82.91470075853928,737.2789635445369,0.0,0.0,0.0
-6.835647783161364,-83.66859164003948,735.311642740417,0.0,0.0,0.0
-6.906378148008901,-84.39090055201373,733.2669969699364,0.0,0.0,0.0
-6.957724881964328,-85.08219567535342,731.1426516145078,0.0,0.0,0.0
-6.989242338265642,-85.74368404824396,728.9369255411473,0.0,0.0,0.0
-7.000572988812009,-86.37708711834465,726.6476856385939,0.0,0.0,0.0
-6.991335046890657,-86.98382315926006,724.273423149248,0.0,0.0,0.0
-6.961149206476176,-87.56559102303993,721.8118961515504,0.0,0.0,0.0
-6.909730305514844,-88.12416738843959,719.2616925559671,0.0,0.0,0.0
-6.836970541055174,-88.66198186008413,716.6216366679336,0.0,0.0,0.0
-6.742791809899458,-89.1816111599246,713.8906059742766,0.0,0.0,0.0
-6.627115840290016,-89.68556622547305,711.0675864051543,0.0,0.0,0.0
-6.489885995732085,-90.17643946771172,708.1513405009042,0.0,0.0,0.0
-6.331389999999999,-90.65697,705.1425799999998,0.0,0.0,0.0
-6.1521202812693305,-91.13038414588993,702.0410862339173,0.0,0.0,0.0
-5.95264311610851,-91.5997076924309,698.8485025837219,0.0,0.0,0.0
-5.733516294556949,-92.06803880059513,695.5657540700757,0.0,0.0,0.0
-5.495372392499903,-92.53846011662667,692.1939923608453,0.0,0.0,0.0
-5.239228826771903,-93.01404360604019,688.7353406611084,0.0,0.0,0.0
-4.966335989838159,-93.49771713540036,685.1932560670572,0.0,0.0,0.0
-4.677742795948087,-93.99268063504765,681.5689884141822,0.0,0.0,0.0
-4.374681071079541,-94.50189367923834,677.8658189512258,0.0,0.0,0.0
-4.058556261604454,-95.02824869047538,674.0868648498799,0.0,0.0,0.0
-3.7311522013423843,-95.57437202217865,670.2365453620303,0.0,0.0,0.0
-3.394307000805971,-96.14290432573715,666.318981508775,0.0,0.0,0.0
-3.049816386883138,-96.73652767318059,662.3379960662832,0.0,0.0,0.0
-2.6995421972398064,-97.35775211480139,658.2981931584943,0.0,0.0,0.0
-2.3455613141632536,-98.00842570187358,654.2048173172018,0.0,0.0,0.0
-1.9901266206374704,-98.68970970189689,650.0643384734489,0.0,0.0,0.0
-1.635340481897541,-99.40310984736836,645.8811629736797,0.0,0.0,0.0
-1.28346,-100.14980000000001,641.6618699999999,0.0,0.0,0.0
-0.936704917752961,-100.93083448672513,637.4122645224099,0.0,0.0,0.0
-0.5972194367229278,-101.74626472407179,633.1386858096035,0.0,0.0,0.0
-0.26723279283572354,-102.59579451221147,628.8481864533907,0.0,0.0,0.0
0.051202687427300206,-103.47950131473829,624.5456476127193,0.0,0.0,0.0
0.3558881224398223,-104.3970524039661,620.2384578836687,0.0,0.0,0.0
0.6447609266187918,-105.34767497419054,615.9328335479896,0.0,0.0,0.0
0.9159071484885691,-106.32963548766153,611.636157508041,0.0,0.0,0.0
1.1674881160601627,-107.3412764486015,607.3546601786395,0.0,0.0,0.0
1.3976293855805362,-108.38093354625197,603.0951378495618,0.0,0.0,0.0
1.6044586414442557,-109.44673049686045,598.864585324209,0.0,0.0,0.0
1.7865691402101085,-110.535991326094,594.6698970640828,0.0,0.0,0.0
1.9427431775384172,-111.64537511697492,590.5187000849672,0.0,0.0,0.0
2.07183381388588,-112.77211779271586,586.4163409339897,0.0,0.0,0.0
2.1726437365971902,-113.91281538695621,582.3703636894504,0.0,0.0,0.0
2.2440692067283816,-115.06421693276484,578.3877594447221,0.0,0.0,0.0
2.285393350522428,-116.22255044845893,574.4754716287051,0.0,0.0,0.0
2.29597,-117.38384000000003,570.6409899999999,0.0,0.0,0.0
2.275118986668427,-118.54457820211888,566.8903451706539,0.0,0.0,0.0
2.222200540008525,-119.70076228374397,563.2308963524589,0.0,0.0,0.0
2.13677266094786,-120.84836885497488,559.6698808984806,0.0,0.0,0.0
