Unnamed: 0_level_0,FullBody_CoG_vel,FullBody_CoG_vel,FullBody_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1794,-0.00995,-0.09189,-0.01174,0.18241,-0.10209,-0.03548,0.09311,-0.1153,0.07962,0.14298,-0.05603,-0.0347,0.10884,-0.11733,0.09874,0.05114,-0.03935,-0.04441,0.08427,-0.15639,0.07617,-0.07078,-0.17305,-0.03738,-0.07173,-0.18206,-0.01695,-0.02123,-0.12331,-0.01214,-0.04637,-0.07834,-0.0232,-0.0146,-0.0509,-0.04453,-0.01327,-0.08354,0.01007,0.01145,0.00285,-0.02253,0.01503,-0.05471,-0.00092,0.01325,0.02652,-0.01639,0.01846,-0.024,-0.00726,0.01358,0.02651,-0.01593,0.01831,-0.02481,-0.007
1795,-0.01137,-0.08668,-0.01296,0.20655,-0.10947,-0.04644,0.12074,-0.14259,0.05299,0.14412,-0.04545,-0.03779,0.14484,-0.14417,0.06957,0.05591,-0.02467,-0.04642,0.078,-0.17095,0.04408,-0.10097,-0.15306,-0.04412,-0.08633,-0.16532,-0.01817,-0.0365,-0.11004,-0.01089,-0.04736,-0.07583,-0.02231,0.00173,-0.04173,-0.04191,-0.01263,-0.09205,0.00888,0.03177,0.00721,-0.02333,0.02145,-0.0626,-0.00238,0.02162,0.03266,-0.0204,0.02467,-0.0289,-0.00792,0.02145,0.03264,-0.0203,0.02451,-0.02977,-0.00744
1796,-0.01209,-0.08039,-0.003,0.18808,-0.13489,-0.02246,0.11397,-0.16704,0.07569,0.11738,-0.05676,-0.01668,0.16063,-0.14611,0.07331,0.04836,-0.03614,-0.0253,0.07261,-0.14855,0.04274,-0.1103,-0.12479,-0.03704,-0.08274,-0.13784,-0.0111,-0.04883,-0.10004,-0.0024,-0.0384,-0.07477,-0.0098,0.01497,-0.03438,-0.02058,-0.00805,-0.09018,0.00976,0.03336,0.00257,-0.0087,0.02342,-0.05626,-0.00071,0.02343,0.02252,-0.01231,0.02337,-0.0281,0.00192,0.02284,0.02252,-0.01305,0.0233,-0.0285,0.00309
1797,-0.01099,-0.07442,0.01015,0.14611,-0.15622,-0.00867,0.07113,-0.16294,0.13469,0.07541,-0.08161,0.00342,0.13087,-0.11861,0.11199,0.02473,-0.06236,-0.00102,0.06549,-0.10227,0.0766,-0.09858,-0.10112,-0.02187,-0.06538,-0.11078,-0.00453,-0.04639,-0.09238,0.00759,-0.02436,-0.07485,0.00535,0.01562,-0.04001,0.00413,-0.00141,-0.07571,0.01085,0.01684,-0.01532,0.00836,0.0205,-0.03721,0.00156,0.02139,0.00389,0.00246,0.01545,-0.02071,0.01056,0.0212,0.00393,0.00128,0.0155,-0.02055,0.01231
1798,-0.01249,-0.07135,0.01723,0.12857,-0.17059,-0.03141,0.01064,-0.12903,0.18092,0.052,-0.10019,-0.00289,0.07362,-0.08001,0.15965,8e-05,-0.07425,0.008,0.05522,-0.06132,0.1229,-0.07762,-0.09081,-0.00682,-0.05048,-0.09467,-0.00176,-0.03652,-0.08506,0.01235,-0.01881,-0.08094,0.01265,-0.00119,-0.0612,0.01785,-0.00075,-0.05994,0.00905,-0.00357,-0.03743,0.01984,0.01412,-0.01808,-0.00036,0.0212,-0.01184,0.01648,0.0036,-0.00995,0.00513,0.0222,-0.01173,0.01538,0.0038,-0.00898,0.00624
1799,-0.01966,-0.07037,0.01697,0.1715,-0.18043,-0.06658,-0.03867,-0.08467,0.17386,0.08044,-0.092,-0.0299,0.03292,-0.05258,0.18531,6e-05,-0.0523,0.00294,0.04376,-0.04805,0.14947,-0.06464,-0.09042,0.00273,-0.05458,-0.09,0.0005,-0.03318,-0.07871,0.0105,-0.03284,-0.09165,0.0116,-0.02704,-0.08114,0.02009,-0.01144,-0.05523,0.00597,-0.01152,-0.04441,0.029,0.00733,-0.00798,-0.00581,0.02794,-0.01641,0.0271,-0.00547,0.00051,-0.00896,0.02985,-0.01624,0.02604,-0.00508,0.00254,-0.00821
1800,-0.02807,-0.06748,0.01417,0.25981,-0.17205,-0.07718,-0.04894,-0.04951,0.12601,0.15602,-0.05217,-0.04829,0.03084,-0.04502,0.18182,0.0326,-0.0057,-0.0048,0.03231,-0.06142,0.15015,-0.06776,-0.08498,0.00592,-0.07446,-0.08395,0.00456,-0.0381,-0.07638,0.00667,-0.0583,-0.09611,0.0082,-0.04429,-0.07989,0.01457,-0.02847,-0.06093,0.00703,-0.0069,-0.03013,0.03342,0.001,-0.00552,-0.00795,0.03676,-0.00913,0.03108,-0.00761,0.00686,-0.01479,0.03825,-0.00899,0.02998,-0.00714,0.00924,-0.01291
1801,-0.03191,-0.06125,0.01219,0.32378,-0.13306,-0.06005,-0.00941,-0.02894,0.08852,0.22307,-0.00316,-0.04334,0.04877,-0.05086,0.16727,0.07417,0.03213,-0.00995,0.01797,-0.08228,0.14829,-0.07603,-0.06131,0.00392,-0.08669,-0.0623,0.00744,-0.04482,-0.07911,0.00447,-0.07416,-0.08727,0.0066,-0.04244,-0.0588,0.00123,-0.04158,-0.06711,0.01581,-0.00376,-0.01166,0.02187,-0.00659,-0.00551,-0.00107,0.03378,0.00457,0.02341,-0.00573,0.00721,-0.00535,0.03369,0.00458,0.02287,-0.00548,0.00842,-0.00275
1802,-0.03079,-0.05473,0.0119,0.30127,-0.07341,-0.04189,0.05562,-0.01505,0.08635,0.22386,0.02204,-0.02639,0.05633,-0.05739,0.1568,0.09103,0.03457,-0.01215,-0.00111,-0.09352,0.15653,-0.07415,-0.02652,-0.00205,-0.07689,-0.02925,0.00423,-0.04925,-0.08168,0.00452,-0.06924,-0.0709,0.00864,-0.0271,-0.04025,-0.01393,-0.04472,-0.06719,0.02947,-0.00873,-0.01034,-0.00312,-0.01396,-0.0074,0.0127,0.01534,0.01656,0.00869,-0.00237,0.00421,0.01072,0.01382,0.01643,0.00942,-0.00252,0.00341,0.01182
