Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
161,10.32967,-34.63947,237.79207,-10.07522,38.0178,467.55453
162,10.33144,-34.6418,237.79112,-10.06918,38.02345,467.55316
163,10.33323,-34.64412,237.78996,-10.06318,38.02904,467.55188
164,10.33506,-34.64643,237.78857,-10.05722,38.03455,467.55063
165,10.33691,-34.64875,237.78699,-10.05132,38.03997,467.54941
166,10.33878,-34.65106,237.78519,-10.04547,38.0453,467.54825
167,10.34067,-34.65337,237.78319,-10.03969,38.05053,467.54712
168,10.34257,-34.65567,237.78102,-10.03397,38.05566,467.54599
169,10.3445,-34.65797,237.77867,-10.02835,38.06068,467.54486
170,10.34643,-34.66028,237.77614,-10.0228,38.06557,467.54373
171,10.34838,-34.66257,237.77347,-10.01736,38.07035,467.54266
172,10.35035,-34.66488,237.77065,-10.01201,38.07499,467.54153
173,10.35232,-34.66717,237.76768,-10.00677,38.07949,467.54041
174,10.3543,-34.66947,237.76459,-10.00165,38.08385,467.53928
175,10.35629,-34.67176,237.76135,-9.99664,38.08807,467.53812
176,10.35828,-34.67405,237.75806,-9.99175,38.09212,467.53696
177,10.36028,-34.67633,237.75461,-9.98699,38.09603,467.53574
178,10.36228,-34.67861,237.75107,-9.98235,38.09977,467.53448
179,10.36429,-34.68088,237.74744,-9.97785,38.10335,467.53323
180,10.36629,-34.68313,237.74373,-9.97348,38.10676,467.53192
181,10.3683,-34.68538,237.73996,-9.96926,38.10999,467.53058
182,10.37031,-34.68761,237.73611,-9.96517,38.11305,467.52921
183,10.37231,-34.68983,237.73222,-9.96123,38.11592,467.52777
184,10.3743,-34.69204,237.72827,-9.95744,38.11862,467.52634
185,10.37628,-34.69423,237.72429,-9.95379,38.12114,467.52484
186,10.37823,-34.6964,237.72026,-9.95029,38.12347,467.52332
187,10.38016,-34.69856,237.71625,-9.94695,38.12561,467.52173
188,10.38205,-34.70069,237.71217,-9.94375,38.12758,467.52011
189,10.38391,-34.70281,237.70811,-9.94071,38.12936,467.5184
190,10.38573,-34.7049,237.70406,-9.93783,38.13095,467.51672
191,10.38751,-34.70697,237.7,-9.9351,38.13236,467.51495
192,10.38923,-34.70901,237.69597,-9.93252,38.13359,467.51315
193,10.39091,-34.71104,237.69196,-9.9301,38.13463,467.51135
194,10.39253,-34.71304,237.68799,-9.92782,38.13551,467.50952
195,10.3941,-34.71502,237.68407,-9.9257,38.13621,467.50763
196,10.39561,-34.71697,237.68021,-9.92372,38.13675,467.50568
197,10.39706,-34.7189,237.67642,-9.92188,38.13714,467.50372
198,10.39846,-34.72081,237.6727,-9.92018,38.13736,467.50177
199,10.39979,-34.72269,237.66905,-9.91863,38.13744,467.49979
200,10.40106,-34.72454,237.6655,-9.91721,38.13737,467.49777
201,10.40227,-34.72638,237.66206,-9.91592,38.13716,467.49576
202,10.40342,-34.72819,237.65872,-9.91475,38.13682,467.49377
203,10.40452,-34.72998,237.65553,-9.91371,38.13636,467.49179
204,10.40555,-34.73175,237.65245,-9.91278,38.13579,467.48987
205,10.40654,-34.7335,237.64952,-9.91196,38.13512,467.48792
206,10.40748,-34.73523,237.64673,-9.91125,38.13435,467.48608
207,10.40837,-34.73695,237.6441,-9.91062,38.13349,467.48425
208,10.40921,-34.73866,237.64165,-9.9101,38.13255,467.48254
209,10.41001,-34.74035,237.63936,-9.90965,38.13154,467.4809
210,10.41077,-34.74202,237.63728,-9.90929,38.13047,467.47937
211,10.41148,-34.74369,237.63538,-9.909,38.12936,467.47791
212,10.41216,-34.74536,237.63367,-9.90876,38.1282,467.47659
213,10.41279,-34.74702,237.63217,-9.90859,38.12703,467.4754
214,10.41339,-34.74868,237.63091,-9.90846,38.12585,467.47433
215,10.41394,-34.75035,237.62982,-9.90837,38.12466,467.47348
216,10.41446,-34.75202,237.62898,-9.90831,38.12348,467.47278
217,10.41494,-34.7537,237.62839,-9.90828,38.12233,467.47223
218,10.41539,-34.7554,237.62801,-9.90826,38.12121,467.47189
219,10.4158,-34.7571,237.6279,-9.90826,38.12014,467.47174
220,10.41617,-34.75882,237.62801,-9.90825,38.11913,467.47183
221,10.41651,-34.76055,237.62836,-9.90825,38.1182,467.47214
222,10.41682,-34.76229,237.62894,-9.90823,38.11735,467.47269
223,10.4171,-34.76405,237.62975,-9.90819,38.1166,467.47354
224,10.41735,-34.76582,237.6308,-9.90814,38.11596,467.47461
225,10.41758,-34.7676,237.6321,-9.90805,38.11546,467.47595
226,10.41777,-34.76939,237.63359,-9.90793,38.11508,467.47763
227,10.41794,-34.77119,237.63533,-9.90776,38.11486,467.47958
228,10.41809,-34.77302,237.63728,-9.90755,38.1148,467.48187
229,10.41821,-34.77485,237.63948,-9.90728,38.11491,467.4845
230,10.41831,-34.77669,237.64189,-9.90695,38.11519,467.48737
231,10.4184,-34.77854,237.6445,-9.90655,38.11567,467.49063
232,10.41848,-34.7804,237.64731,-9.90608,38.11633,467.49426
233,10.41854,-34.78228,237.65033,-9.90554,38.1172,467.49817
234,10.41859,-34.78416,237.65353,-9.90491,38.11829,467.5025
235,10.41863,-34.78605,237.65692,-9.90419,38.1196,467.50714
236,10.41866,-34.78795,237.66051,-9.90337,38.12114,467.51218
237,10.41869,-34.78986,237.66423,-9.90246,38.12291,467.51758
238,10.41871,-34.79178,237.66815,-9.90143,38.12492,467.52335
239,10.41873,-34.7937,237.67224,-9.9003,38.12716,467.52951
240,10.41874,-34.79563,237.6765,-9.89905,38.12963,467.53598
241,10.41874,-34.79757,237.68091,-9.89768,38.13235,467.54288
242,10.41873,-34.79951,237.68544,-9.89618,38.13531,467.55014
243,10.41871,-34.80146,237.69014,-9.89455,38.13852,467.5578
244,10.41868,-34.80342,237.69499,-9.89278,38.14196,467.56586
245,10.41865,-34.80538,237.69997,-9.89087,38.14564,467.57428
246,10.4186,-34.80735,237.70508,-9.88882,38.14957,467.58307
247,10.41855,-34.80932,237.71031,-9.88664,38.15372,467.59225
248,10.41848,-34.81129,237.71564,-9.88433,38.15811,467.60175
249,10.41841,-34.81327,237.72112,-9.88188,38.16271,467.61163
250,10.41832,-34.81524,237.7267,-9.87931,38.16753,467.62189
251,10.41822,-34.81723,237.73239,-9.87662,38.17256,467.63248
252,10.41811,-34.81921,237.73817,-9.87381,38.17779,467.6434
253,10.41799,-34.82119,237.74408,-9.87089,38.18322,467.65463
254,10.41785,-34.82317,237.75006,-9.86785,38.18884,467.66623
255,10.4177,-34.82516,237.75615,-9.86471,38.19463,467.6781
256,10.41753,-34.82714,237.76231,-9.86147,38.2006,467.69028
257,10.41734,-34.82914,237.7686,-9.85814,38.20672,467.70273
258,10.41712,-34.83113,237.77498,-9.85471,38.21299,467.71539
259,10.41688,-34.83312,237.78146,-9.8512,38.2194,467.72839
260,10.41661,-34.83512,237.78801,-9.84762,38.22593,467.74155
261,10.41631,-34.83712,237.79469,-9.84396,38.23258,467.75494
262,10.41597,-34.83913,237.80147,-9.84023,38.23933,467.76855
263,10.4156,-34.84115,237.80833,-9.83644,38.24617,467.78232
264,10.41518,-34.84317,237.81534,-9.83259,38.25309,467.79623
265,10.41473,-34.84521,237.82246,-9.8287,38.26009,467.81024
266,10.41423,-34.84725,237.8297,-9.82475,38.26714,467.82443
267,10.41369,-34.84932,237.83707,-9.82076,38.27425,467.83862
268,10.41309,-34.85139,237.84459,-9.81673,38.28139,467.85291
269,10.41244,-34.85349,237.85226,-9.81267,38.28856,467.86719
270,10.41174,-34.85561,237.86012,-9.80858,38.29574,467.88147
271,10.41099,-34.85776,237.86813,-9.80446,38.30294,467.89572
272,10.41017,-34.85994,237.87634,-9.80032,38.31012,467.90991
273,10.40929,-34.86214,237.88472,-9.79617,38.3173,467.92398
274,10.40835,-34.86439,237.89331,-9.792,38.32444,467.93802
275,10.40733,-34.86667,237.90213,-9.78781,38.33156,467.95184
276,10.40624,-34.86901,237.91118,-9.78361,38.33862,467.96555
277,10.40507,-34.87139,237.92049,-9.7794,38.34563,467.979
278,10.40381,-34.87383,237.93004,-9.77518,38.35258,467.99228
279,10.40247,-34.87632,237.93983,-9.77094,38.35945,468.00522
280,10.40104,-34.87889,237.94994,-9.76669,38.36623,468.01791
