Unnamed: 0_level_0,L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
568,-8.56994,-0.0,0.0,-6.68329,0.0,-0.0,-6.0768,-4.68225,22.79897,16.00426,4.22307,-19.15292,-13.128,-2.85255,-0.00012,-7.59539,0.06055,5e-05,33.43972,10.37632,17.34354,2.9735,-0.44214,-11.15626,32.23479,14.26818,-32.48658,39.23568,-12.40128,38.32858,106.59167,0.00135,-85.83845,100.35294,0.00016,80.91698,-4.01218,12.09195,-0.00176,-3.95928,-6.78543,-0.00128,4.67554,-2.02519,11.10387,-17.25928,-6.05989,9.53748,-0.12316,0.0691,7.20111
569,-8.17504,0.0,-0.0,-6.56493,0.0,-0.0,-6.03196,-4.87881,22.63313,16.07096,4.06839,-19.25733,-13.22198,-2.71707,-0.00017,-7.48159,0.12079,6e-05,33.36109,10.29182,17.53286,2.81172,-0.54182,-11.04587,32.24183,14.2477,-32.58846,39.29589,-12.44903,38.42992,106.66759,0.00194,-85.4268,100.53034,0.00159,80.90012,-4.44592,12.09313,0.00262,-4.20369,-6.43522,0.00052,4.75035,-2.12658,11.11594,-17.18777,-6.15844,9.51065,-0.1189,0.04186,7.1886
570,-7.65747,0.0,0.0,-6.09376,-0.0,0.0,-6.00062,-5.15928,22.56152,15.94027,3.93166,-19.36977,-13.20119,-2.64123,-0.0002,-7.3441,0.17017,-1e-05,33.17199,10.27854,17.75776,2.61241,-0.59266,-10.90144,32.22898,14.15722,-32.65227,39.26688,-12.51065,38.5095,106.83652,0.00293,-85.63146,100.72134,0.00154,80.27948,-5.21394,11.48308,0.01009,-4.07082,-6.31817,0.00029,4.82274,-2.27845,11.3658,-17.10575,-6.39258,9.68658,-0.17381,0.13437,7.21992
571,-7.77903,0.0,0.0,-5.96757,-0.0,0.0,-5.96346,-5.15752,22.90336,15.79699,3.88232,-19.49275,-13.10873,-2.76613,-0.00036,-7.26112,0.20765,-7e-05,33.07486,10.35659,17.64451,2.57993,-0.59864,-10.67581,32.31413,14.06865,-32.64186,39.23882,-12.47785,38.60112,107.04909,0.00228,-86.19784,100.83857,0.00014,80.03616,-5.99368,10.32818,0.00928,-3.70377,-6.50616,-0.00123,4.95887,-2.35682,11.80838,-16.94403,-6.63034,10.07007,-0.15789,0.29879,7.22533
572,-8.64817,0.0,-0.0,-6.3676,-0.0,-0.0,-5.90872,-4.80691,23.552,15.77979,3.86323,-19.54426,-13.04786,-2.99981,-0.00023,-7.25653,0.25992,-7e-05,33.18567,10.45761,17.17112,2.75807,-0.59643,-10.51384,32.49747,14.05315,-32.62446,39.32335,-12.32583,38.7298,107.20815,0.00018,-86.54373,100.85813,0.0001,80.53928,-6.50841,9.21454,0.00156,-3.47027,-6.81635,-0.00066,5.19011,-2.31534,12.21536,-16.68333,-6.74345,10.46554,-0.01543,0.45448,7.17333
573,-9.48188,0.0,0.0,-6.73293,-0.0,0.0,-5.90226,-4.38006,23.96795,15.81853,3.85119,-19.38979,-13.08064,-3.13011,-0.00014,-7.27896,0.3208,-2e-05,33.38216,10.51905,16.81654,2.96254,-0.61173,-10.60545,32.67813,14.14616,-32.69226,39.59924,-12.16239,38.89975,107.31178,-0.00139,-86.34614,100.7878,0.00031,81.17779,-6.67306,8.67989,-0.00249,-3.8356,-7.01265,-6e-05,5.47159,-2.20131,12.40355,-16.38367,-6.70764,10.68403,0.13452,0.55844,7.11886
574,-9.55882,0.0,0.0,-6.61969,-0.0,0.0,-5.99928,-4.16422,23.85005,15.78727,3.91058,-19.02784,-13.17975,-3.09694,-0.0002,-7.27103,0.3514,2e-05,33.4707,10.53891,16.93875,2.99966,-0.64893,-10.93167,32.77919,14.28722,-32.84302,40.00156,-12.13068,39.07162,107.40302,-0.00166,-85.84192,100.66583,-0.00028,81.29576,-6.52986,8.80929,-0.00097,-4.75773,-7.01049,-0.0009,5.67901,-2.07655,12.38012,-16.1725,-6.58314,10.70891,0.14989,0.62306,7.12861
575,-8.89893,-0.0,0.0,-6.19315,0.0,0.0,-6.15898,-4.18091,23.42354,15.67249,4.12048,-18.58268,-13.28137,-3.02872,-0.0001,-7.22464,0.30568,-0.0,33.41357,10.56018,17.36849,2.87409,-0.67947,-11.32136,32.82577,14.35478,-33.00801,40.36982,-12.26001,39.21956,107.47121,-0.00101,-85.73328,100.54255,-0.00039,80.95054,-6.32805,9.17759,0.001,-5.69315,-6.88856,-0.00045,5.71474,-1.97131,12.26287,-16.14057,-6.44184,10.63887,0.04243,0.6926,7.19132
576,-8.01445,0.0,-0.0,-5.86554,0.0,-0.0,-6.2574,-4.26812,23.07903,15.55326,4.45598,-18.18875,-13.35292,-3.06081,5e-05,-7.16802,0.17193,-2e-05,33.31252,10.64386,17.70934,2.73635,-0.65401,-11.6172,32.88998,14.2923,-33.16206,40.63698,-12.46629,39.40969,107.49021,-0.00065,-86.49521,100.45451,-1e-05,80.60234,-6.50477,9.22791,0.0047,-6.32049,-6.74156,0.00039,5.61177,-1.89205,12.1321,-16.2494,-6.31963,10.54651,-0.06663,0.8057,7.24071
