Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
161,0.21544,0.34363,1.4683,0.14502,0.58512,0.07822,0.16843,0.07801,0.07729,0.12229,0.51087,0.47432,0.24745,0.18345,0.45483,0.11286,0.32044,0.84573,0.27445,0.23277,0.85712,0.03365,0.37037,1.39232,0.35295,0.22688,1.39065,-0.02875,0.43153,1.10679,0.45784,0.22666,1.11371,0.12384,0.61965,1.04468,0.4943,0.43759,1.01682
162,0.21573,0.34415,1.46829,0.14508,0.58526,0.07821,0.16863,0.07801,0.07716,0.12211,0.5109,0.47427,0.24696,0.18296,0.45498,0.11232,0.32071,0.8458,0.27364,0.23257,0.85726,0.03387,0.37082,1.39308,0.35241,0.22638,1.39227,-0.02689,0.43507,1.10787,0.45839,0.2303,1.11578,0.13059,0.62232,1.05623,0.49066,0.44599,1.02833
163,0.21571,0.34464,1.46817,0.14499,0.58556,0.07826,0.16877,0.07815,0.07705,0.12205,0.51091,0.47427,0.2465,0.18244,0.45518,0.11191,0.3208,0.84583,0.27306,0.23236,0.85743,0.03402,0.3712,1.39404,0.35229,0.22628,1.3936,-0.02435,0.43925,1.10921,0.45951,0.23432,1.11766,0.13797,0.62487,1.06766,0.4863,0.45419,1.03926
164,0.21582,0.34508,1.46792,0.14484,0.5858,0.07827,0.16886,0.07825,0.07707,0.12197,0.51093,0.47424,0.24629,0.1822,0.45534,0.11168,0.32094,0.84587,0.27278,0.23242,0.85756,0.0344,0.37168,1.39515,0.35276,0.22693,1.3945,-0.02093,0.44413,1.1108,0.46141,0.23875,1.11926,0.14608,0.62749,1.07898,0.48146,0.46216,1.0493
165,0.21641,0.34541,1.46764,0.14478,0.58586,0.07823,0.16886,0.07816,0.07723,0.12179,0.51095,0.47419,0.2463,0.18222,0.45547,0.11155,0.32119,0.84593,0.27265,0.23269,0.85767,0.03524,0.37224,1.39646,0.35352,0.22819,1.39503,-0.01683,0.44926,1.11269,0.4639,0.24351,1.12065,0.1543,0.63022,1.09034,0.47679,0.46991,1.05914
166,0.21731,0.34565,1.46743,0.14489,0.58576,0.07819,0.16878,0.07785,0.07751,0.12155,0.51104,0.47417,0.24638,0.18225,0.45563,0.11135,0.32141,0.84597,0.27242,0.23285,0.85783,0.03631,0.3727,1.39786,0.35409,0.22957,1.39526,-0.0127,0.45414,1.11479,0.46649,0.24871,1.12195,0.16167,0.6329,1.10169,0.47259,0.47771,1.06973
167,0.21805,0.34592,1.46738,0.14508,0.58559,0.07818,0.16877,0.07744,0.07782,0.1213,0.51128,0.47421,0.24635,0.18216,0.45586,0.11102,0.32161,0.84599,0.27195,0.23283,0.85807,0.03714,0.37307,1.39906,0.35442,0.23067,1.39534,-0.00918,0.45877,1.11679,0.46872,0.25446,1.12318,0.16774,0.63544,1.1128,0.46854,0.48563,1.08112
168,0.21837,0.3463,1.4675,0.14514,0.58546,0.07818,0.16894,0.07715,0.07802,0.12094,0.51161,0.47426,0.24614,0.18202,0.45609,0.11061,0.32196,0.84605,0.27136,0.23288,0.85831,0.03763,0.37363,1.39979,0.35478,0.23151,1.39542,-0.00637,0.46367,1.1185,0.47042,0.26074,1.12436,0.17309,0.63772,1.12359,0.46425,0.49347,1.09256
169,0.21846,0.3469,1.46761,0.14504,0.58543,0.07817,0.16918,0.07714,0.07804,0.12035,0.51192,0.47428,0.24574,0.18193,0.45627,0.1102,0.32245,0.84617,0.27081,0.23311,0.85845,0.03805,0.37473,1.40016,0.35517,0.23243,1.39557,-0.00381,0.46933,1.12005,0.47174,0.2676,1.12562,0.17893,0.63941,1.1344,0.45961,0.50121,1.10354
170,0.21856,0.34774,1.46755,0.14501,0.58548,0.07818,0.16926,0.07737,0.07797,0.11968,0.51215,0.47429,0.24515,0.18191,0.4564,0.10979,0.32286,0.84628,0.27027,0.2333,0.85856,0.03849,0.37632,1.40045,0.35531,0.23364,1.39579,-0.00099,0.47575,1.12166,0.4729,0.2752,1.1272,0.18577,0.64032,1.14549,0.4547,0.50911,1.11423
171,0.21868,0.34872,1.46737,0.14515,0.58554,0.07823,0.16917,0.07766,0.07792,0.1192,0.51233,0.47432,0.24448,0.18187,0.45656,0.10931,0.32304,0.84631,0.26964,0.23323,0.85872,0.03866,0.3781,1.40075,0.35515,0.23491,1.3961,0.00208,0.48246,1.12338,0.47392,0.28335,1.12918,0.19274,0.64084,1.15645,0.44962,0.51702,1.12481
172,0.21873,0.34971,1.46722,0.14531,0.58558,0.0783,0.16909,0.07784,0.07795,0.11898,0.51251,0.47439,0.24391,0.18171,0.45678,0.10876,0.32311,0.84631,0.26896,0.23308,0.85894,0.03847,0.37989,1.40106,0.35499,0.23601,1.39655,0.00485,0.48874,1.12504,0.47465,0.29127,1.13136,0.19836,0.6416,1.16641,0.44452,0.52427,1.13517
173,0.21872,0.35069,1.46712,0.14528,0.58553,0.07844,0.16911,0.07791,0.07806,0.11879,0.51275,0.47457,0.24355,0.18142,0.45706,0.10821,0.32332,0.84647,0.26832,0.23316,0.85919,0.03841,0.3817,1.40139,0.35513,0.23707,1.39715,0.00671,0.49421,1.12661,0.47514,0.29833,1.13344,0.20199,0.6427,1.17502,0.43947,0.53028,1.14517
174,0.21882,0.35161,1.46709,0.14502,0.58532,0.07871,0.16917,0.07793,0.07823,0.11845,0.51312,0.47494,0.24337,0.18118,0.45735,0.10764,0.32384,0.8469,0.2677,0.23357,0.85943,0.03894,0.38359,1.40176,0.35563,0.23836,1.39782,0.00765,0.49912,1.12819,0.47568,0.30452,1.13531,0.20426,0.64369,1.18272,0.43454,0.53502,1.15491
175,0.21917,0.35247,1.46712,0.14465,0.58494,0.07901,0.16917,0.07794,0.07842,0.11799,0.51365,0.4754,0.24324,0.1812,0.45756,0.10704,0.32459,0.84748,0.26704,0.23415,0.85959,0.03988,0.38551,1.40206,0.35632,0.23987,1.39839,0.00842,0.50409,1.12982,0.47659,0.31011,1.13704,0.20648,0.64436,1.19001,0.43006,0.5388,1.16438
176,0.21982,0.35335,1.46716,0.14433,0.58446,0.07916,0.16914,0.07797,0.07853,0.11749,0.51441,0.47576,0.24307,0.18149,0.45763,0.10638,0.32539,0.84785,0.26627,0.23472,0.85966,0.04064,0.38738,1.4022,0.35699,0.24134,1.39872,0.00995,0.50959,1.13148,0.47796,0.31536,1.13875,0.20966,0.64506,1.19699,0.42634,0.54199,1.17317
177,0.22057,0.35455,1.46707,0.1441,0.58411,0.07909,0.16915,0.07801,0.0785,0.11694,0.51546,0.47592,0.24281,0.18192,0.45755,0.10562,0.32612,0.84784,0.26536,0.23518,0.85961,0.04092,0.38915,1.40228,0.35751,0.24271,1.39893,0.0126,0.51568,1.13329,0.47951,0.32062,1.14057,0.21378,0.64644,1.20369,0.42323,0.54514,1.18097
178,0.2211,0.35623,1.46674,0.14394,0.58402,0.07895,0.16925,0.07798,0.07836,0.11632,0.51669,0.47597,0.24239,0.18236,0.45738,0.10475,0.32682,0.84761,0.26429,0.23553,0.85949,0.04103,0.39089,1.40246,0.35786,0.24415,1.39928,0.01581,0.52218,1.13545,0.48077,0.32631,1.14268,0.21811,0.64869,1.21028,0.42011,0.54874,1.18801
179,0.22125,0.35823,1.46624,0.14385,0.58411,0.0789,0.16938,0.07786,0.07823,0.11578,0.51793,0.47608,0.2418,0.18278,0.45724,0.10388,0.32755,0.84746,0.26316,0.23583,0.85939,0.04147,0.39273,1.40272,0.35801,0.24571,1.39991,0.01871,0.52879,1.13789,0.48138,0.33254,1.14508,0.22193,0.6513,1.21673,0.41653,0.55284,1.19482
180,0.2212,0.36024,1.46568,0.14374,0.58426,0.07898,0.16946,0.07776,0.07822,0.11547,0.51905,0.47631,0.24112,0.18314,0.45724,0.10312,0.32838,0.84752,0.26216,0.23623,0.85941,0.04246,0.39484,1.40299,0.35801,0.24719,1.40067,0.02073,0.53508,1.14026,0.48143,0.33889,1.14758,0.22485,0.65366,1.22276,0.41272,0.55697,1.20171
181,0.22132,0.36213,1.46515,0.14353,0.58445,0.07916,0.16936,0.07781,0.07835,0.11536,0.52011,0.47663,0.24044,0.18338,0.45743,0.10245,0.32931,0.84775,0.26133,0.23687,0.85955,0.04386,0.39744,1.40332,0.35789,0.24856,1.40132,0.0218,0.54077,1.1423,0.48132,0.34476,1.1499,0.22663,0.65575,1.22805,0.40941,0.56061,1.20859
182,0.22182,0.36403,1.46464,0.14332,0.58473,0.07934,0.16902,0.07804,0.07851,0.11517,0.52125,0.47696,0.23982,0.1835,0.45767,0.10174,0.33029,0.84797,0.26053,0.23769,0.85971,0.04531,0.4005,1.40375,0.35772,0.25007,1.40175,0.02213,0.54599,1.14402,0.48142,0.34982,1.15186,0.22743,0.65793,1.2326,0.40736,0.5636,1.21527
183,0.22262,0.36601,1.46418,0.1433,0.58504,0.07946,0.16853,0.0784,0.07859,0.11464,0.52261,0.47721,0.23922,0.18362,0.45783,0.10085,0.3313,0.84804,0.25952,0.2385,0.8598,0.04645,0.40362,1.40414,0.35756,0.25186,1.40203,0.02212,0.55112,1.14565,0.4818,0.35433,1.15351,0.22794,0.6602,1.23658,0.40658,0.56627,1.2216
184,0.22343,0.368,1.46378,0.1435,0.58523,0.07953,0.16803,0.07884,0.07856,0.11383,0.52416,0.47741,0.23858,0.18387,0.45789,0.09976,0.33237,0.84798,0.25825,0.23928,0.85982,0.04711,0.4063,1.40434,0.35758,0.25379,1.40225,0.02222,0.55637,1.14739,0.48232,0.35893,1.1551,0.2288,0.66235,1.24025,0.40626,0.56914,1.22743
