Unnamed: 0_level_0,L_TO_ANGLE,L_TO_ANGLE,L_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,L_FT_ANGLE,L_FT_ANGLE,L_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,L_SK_ANGLE,L_SK_ANGLE,L_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,L_TH_ANGLE,L_TH_ANGLE,L_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,L_AR_ANGLE,L_AR_ANGLE,L_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,L_FA_ANGLE,L_FA_ANGLE,L_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2266,-3.70259,-6.45608,4.31115,-5.92021,1.78494,-53.57851,1.75377,-6.0186,4.90442,-2.86936,-2.35057,-53.56343,1.75377,-6.0186,4.90442,-2.86936,-2.35057,-53.56343,3.65771,-3.09378,-10.33222,-17.84106,0.90057,-40.99578,24.88281,-3.95333,-9.54177,-11.4036,-6.90003,-40.50893,-11.07729,7.7288,-30.84425,-13.96296,10.19948,-24.70153,-12.81604,8.7475,-11.48136,-35.14225,12.42939,-7.32582,25.57462,11.56954,-52.14456,7.80319,-23.52573,6.50176,138.33656,-52.22197,-73.40046,96.72974,6.5983,95.3969,149.07852,-40.81835,-66.33649,102.87098,5.21878,94.84972
2267,-3.72847,-6.45706,4.50384,-6.03713,1.35315,-53.51703,1.6198,-6.01081,5.08502,-3.17884,-2.5113,-53.48812,1.61979,-6.01081,5.08502,-3.17884,-2.5113,-53.48812,3.66098,-2.98653,-10.14281,-17.76524,1.05997,-40.88177,25.00969,-3.81897,-9.39059,-11.33591,-6.74963,-40.41016,-10.99088,7.5013,-30.76649,-13.76133,9.85399,-24.64874,-12.72426,8.59938,-11.26111,-35.04896,12.20966,-7.17725,25.52399,11.12068,-51.88556,9.1493,-23.78944,7.15235,138.72801,-51.81509,-73.56813,98.67582,7.59954,96.69233,149.78149,-40.36006,-66.34808,104.48711,5.67346,96.13875
2268,-3.43863,-6.43741,4.66702,-5.97282,1.0414,-53.43266,1.40543,-6.02179,5.19297,-3.37043,-2.46571,-53.40029,1.40542,-6.02179,5.19297,-3.37043,-2.46571,-53.40029,3.71855,-2.84891,-9.88261,-17.72294,1.19485,-40.93515,25.10578,-3.69848,-9.15903,-11.26532,-6.62218,-40.4786,-10.90028,7.34426,-30.66971,-13.57469,9.52949,-24.56081,-12.77206,8.42768,-10.96513,-35.09691,11.93964,-6.96704,25.56022,10.79115,-51.59097,10.34353,-23.97821,7.53381,138.98769,-51.42769,-73.52599,100.52097,8.32962,97.34032,150.83113,-39.86588,-65.8186,106.55212,6.59801,96.67494
2269,-3.03717,-6.42593,4.72814,-5.66989,1.01913,-53.38094,1.23226,-6.05741,5.19254,-3.28786,-2.18535,-53.35668,1.23225,-6.05741,5.19254,-3.28785,-2.18535,-53.35668,3.81335,-2.70525,-9.64036,-17.71226,1.28081,-41.06652,25.16181,-3.59169,-8.94166,-11.20154,-6.5112,-40.62516,-10.82534,7.24679,-30.55169,-13.40245,9.23212,-24.42236,-12.77768,8.17708,-10.72226,-35.09398,11.61655,-6.83716,25.63923,10.57956,-51.27609,11.54781,-24.16239,7.83385,139.21924,-51.05889,-73.27441,102.2979,8.91261,98.21279,151.91075,-39.3639,-65.04575,108.84588,7.64231,97.38234
2270,-2.77778,-6.45352,4.71238,-5.27188,1.21898,-53.35135,1.1449,-6.11726,5.142,-3.01793,-1.81066,-53.33971,1.1449,-6.11726,5.142,-3.01793,-1.81066,-53.33971,3.91085,-2.59067,-9.56041,-17.72665,1.34417,-41.1387,25.19222,-3.48839,-8.89642,-11.13008,-6.4164,-40.71024,-10.76355,7.18132,-30.44434,-13.23235,8.96957,-24.27787,-12.56987,7.84472,-10.60241,-34.86616,11.26401,-6.85384,25.71718,10.38901,-50.98295,12.79533,-24.40341,8.21456,139.63829,-50.69003,-72.7085,104.01105,9.52839,100.47724,152.70172,-38.77254,-64.31529,111.24618,8.56383,99.47043
2271,-2.75422,-6.62314,4.71573,-4.99137,1.33006,-53.26951,1.11017,-6.29158,5.1505,-2.82645,-1.57158,-53.26494,1.11017,-6.29158,5.1505,-2.82645,-1.57158,-53.26494,3.99471,-2.50469,-9.64518,-17.74754,1.42254,-41.04313,25.21678,-3.38711,-9.02641,-11.04049,-6.32904,-40.62411,-10.68483,7.12942,-30.377,-13.05733,8.73046,-24.13377,-12.2147,7.46197,-10.58653,-34.48329,10.90387,-6.98689,25.84256,10.13788,-50.74157,14.03728,-24.70041,8.73024,140.32867,-50.31971,-71.95556,105.65261,10.28554,103.78568,153.14241,-38.03307,-63.86441,113.76965,9.28482,102.59507
2272,-2.97851,-6.89409,4.76464,-4.99985,1.20068,-53.10433,1.115,-6.53797,5.24357,-2.89183,-1.60758,-53.09684,1.11499,-6.53797,5.24357,-2.89183,-1.60758,-53.09684,4.06367,-2.42862,-9.79408,-17.75046,1.52275,-40.76378,25.25346,-3.2915,-9.22266,-10.95468,-6.22278,-40.35369,-10.57579,7.05477,-30.32117,-12.88871,8.47792,-23.94183,-11.96672,7.08101,-10.59909,-34.20738,10.55601,-7.14547,26.1028,9.83293,-50.52511,15.24394,-24.98685,9.32762,141.07037,-49.96469,-71.24176,107.21951,11.14362,106.39848,153.51527,-37.2311,-63.54884,116.32661,9.75746,105.02061
2273,-3.27116,-6.94855,4.80252,-5.21134,0.89331,-52.92096,1.1314,-6.56112,5.32061,-3.16199,-1.81812,-52.90442,1.13139,-6.56112,5.32061,-3.16199,-1.81812,-52.90442,4.123,-2.36978,-9.85468,-17.73125,1.61929,-40.48273,25.30564,-3.19778,-9.32354,-10.89898,-6.08599,-40.08563,-10.45875,6.91019,-30.23245,-12.73738,8.18486,-23.66551,-11.9589,6.75756,-10.57744,-34.17814,10.24847,-7.24966,26.50826,9.48668,-50.32644,16.37401,-25.20525,9.85764,141.62845,-49.66081,-70.4921,108.68361,11.91648,107.05785,154.06009,-36.42756,-62.95472,118.61725,10.03079,105.51486
2274,-3.39638,-6.59362,4.78236,-5.36057,0.61757,-52.82176,1.11964,-6.19809,5.2857,-3.39981,-1.96689,-52.79867,1.11964,-6.19809,5.28569,-3.39981,-1.96689,-52.79867,4.18223,-2.34667,-9.73015,-17.70981,1.68648,-40.35842,25.35819,-3.10427,-9.22589,-10.86906,-5.94851,-39.97718,-10.3749,6.70407,-30.11599,-12.58656,7.87018,-23.34124,-12.07353,6.52204,-10.51871,-34.27972,10.00838,-7.28525,26.96472,9.07211,-50.2015,17.36238,-25.37279,10.19753,142.04578,-49.44049,-69.62656,109.9807,12.4506,106.04419,154.58255,-35.59302,-62.17239,120.38933,10.28066,104.37296
