Unnamed: 0_level_0,R_HEEL,R_HEEL,R_HEEL,L_HEEL,L_HEEL,L_HEEL
ITEM,X,Y,Z,X,Y,Z
415,0.112,-0.0322,0.01969,0.1377,0.48462,0.00964
416,0.11213,-0.03231,0.01954,0.13763,0.48465,0.00947
417,0.11243,-0.03253,0.01934,0.1379,0.48472,0.00938
418,0.11269,-0.03276,0.0192,0.13808,0.48481,0.00945
419,0.11276,-0.03283,0.01914,0.13793,0.48488,0.00958
420,0.11269,-0.03276,0.01907,0.13784,0.48492,0.00968
421,0.11269,-0.03267,0.0189,0.1382,0.48492,0.00969
422,0.11278,-0.03265,0.01861,0.1388,0.48487,0.00968
423,0.11288,-0.03269,0.01827,0.13925,0.48483,0.00971
424,0.11293,-0.03274,0.01803,0.13948,0.48483,0.00976
425,0.11295,-0.03277,0.01797,0.13949,0.48485,0.0098
426,0.11287,-0.03276,0.01804,0.13923,0.48484,0.00982
427,0.11275,-0.03281,0.01812,0.13889,0.48482,0.00978
428,0.11277,-0.03292,0.0181,0.13889,0.48481,0.00961
429,0.11296,-0.03296,0.01799,0.13934,0.48482,0.00935
430,0.11316,-0.03288,0.01785,0.13992,0.48484,0.00915
431,0.11319,-0.03277,0.01776,0.14028,0.48488,0.0091
432,0.11306,-0.03275,0.01778,0.14019,0.48497,0.00923
433,0.1129,-0.03282,0.01794,0.13972,0.48508,0.00948
434,0.11285,-0.03291,0.01817,0.13924,0.48516,0.00971
435,0.11289,-0.03296,0.01829,0.13914,0.48516,0.00978
436,0.11297,-0.03302,0.01819,0.13942,0.48511,0.00971
437,0.11305,-0.03313,0.01792,0.13974,0.48503,0.00964
438,0.11314,-0.03325,0.01764,0.13986,0.48497,0.00969
439,0.11324,-0.03333,0.01749,0.13983,0.48492,0.00984
440,0.11332,-0.03332,0.01745,0.13977,0.48487,0.01002
441,0.11334,-0.03322,0.01749,0.13972,0.48482,0.01014
442,0.1133,-0.03307,0.01758,0.13969,0.48483,0.01018
443,0.11328,-0.03298,0.01767,0.13971,0.48497,0.0101
444,0.11333,-0.033,0.01774,0.13983,0.48521,0.00995
445,0.11346,-0.03307,0.01784,0.13996,0.48541,0.00986
446,0.11361,-0.03314,0.01795,0.13997,0.48542,0.00992
447,0.11372,-0.03316,0.018,0.13985,0.48528,0.01011
448,0.11374,-0.03314,0.01791,0.13975,0.48514,0.01028
449,0.11365,-0.03305,0.01765,0.13976,0.48507,0.01027
450,0.11351,-0.03289,0.0173,0.13981,0.48498,0.01007
451,0.11349,-0.03277,0.01697,0.13991,0.4848,0.00985
452,0.11369,-0.03277,0.01673,0.14015,0.48454,0.0098
