Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1514,4.61059,-21.44118,6.76558,-15.82011,7.09468,-0.92576,-13.54134,-26.36689,6.70368,-30.38913,17.29346,2.43435,-29.76628,19.22305,-0.25391,-22.27141,-3.79738,-3.31072,-41.36889,14.63849,-2.14585,28.39965,-13.99269,3.91354,4.30665,-0.07515,0.41105,3.27551,0.91632,1.78578,0.65594,-1.4945,0.7674,2.24032,1.07487,1.46175,-0.0481,-0.12982,0.02646,0.29801,0.07859,0.30376
1515,6.35244,-20.94711,6.46802,-15.28867,5.03231,-0.96745,-9.36163,-23.28186,7.45667,-31.11219,9.76326,-0.99426,-29.796,19.09912,-0.14018,-22.45094,-3.45311,-2.99962,-37.81279,6.12886,-5.84451,26.72282,-13.37283,-0.59595,1.26835,-0.05713,0.64029,-2.49397,-3.51111,-1.42554,0.43664,-1.47141,0.48148,1.45667,1.04107,0.13653,-0.04009,-0.19718,-0.02033,0.16443,0.17271,0.01466
1516,6.40217,-20.24313,6.30364,-14.49285,3.18819,-0.82279,-9.90639,-22.45766,7.66293,-26.2712,1.67972,-3.0633,-29.76809,19.01855,-0.09611,-22.65946,-2.94514,-2.66075,-32.19267,0.07594,-8.67745,35.62947,-5.96584,-3.70529,-2.09632,0.91878,1.07796,-6.03549,-6.53401,-4.35607,0.62697,-1.51361,0.19009,1.05102,0.77037,-1.4803,-0.0229,-0.20835,-0.0089,-0.00676,0.15764,-0.39382
1517,4.46088,-20.23991,6.6615,-14.57862,2.01712,-0.753,-13.04489,-27.3305,8.31452,-23.90775,-2.25305,-3.69184,-29.66899,19.0368,-0.20006,-22.87791,-2.52901,-2.38969,-32.51704,-6.4453,-6.57711,45.11254,2.0383,-2.6404,-3.2065,0.67446,0.4299,-3.63037,-4.29368,-3.158,1.33466,-1.45485,-0.61227,1.07194,0.38703,-1.19586,0.0061,-0.11059,0.00467,-0.1021,0.02179,-0.39798
1518,2.6617,-20.76668,7.21726,-15.0499,2.63443,-0.57373,-12.45368,-34.23416,9.60318,-27.78861,0.37871,-3.08094,-29.49092,19.12584,-0.33504,-23.02203,-2.25151,-2.14874,-35.63615,-10.26892,-0.12457,43.14361,0.48316,2.05111,-1.03375,-0.60654,-0.76494,2.3672,1.62593,1.59157,1.96752,-1.26954,-1.23115,1.49856,0.21054,1.11609,0.04792,0.02291,0.00654,-0.0096,-0.10369,0.03767
1519,2.37535,-20.68357,7.34424,-14.08911,5.34849,0.12754,-8.8247,-34.97887,10.15708,-30.3756,7.31335,-0.55166,-29.30688,19.22893,-0.36109,-23.02108,-1.96611,-1.85629,-33.3199,-3.32396,4.96622,30.57015,-8.69376,7.34084,3.0243,-1.14243,-0.94103,7.04687,5.47471,5.21424,1.95779,-1.23246,-0.6999,1.9194,0.38037,2.86609,0.11705,0.04064,0.02091,0.16135,-0.10327,0.41886
1520,3.35342,-19.51359,6.77556,-11.75331,8.05649,1.04253,-6.02657,-27.1012,8.85257,-26.17011,12.1893,2.61898,-29.24598,19.25364,-0.2984,-22.90868,-1.7714,-1.63261,-25.108,10.39787,4.02945,24.04217,-13.48045,8.8549,5.84899,-0.31263,-0.02201,7.09851,3.42852,4.12056,1.67619,-1.49777,0.382,1.98514,0.68576,2.04723,0.23313,-0.05064,0.00875,0.25593,-0.01837,0.37475
1521,4.8941,-18.22877,5.87899,-10.2778,8.7,1.47865,-3.77997,-17.93653,6.20908,-19.74638,10.94231,3.66228,-29.34081,19.20987,-0.24692,-22.82229,-1.8169,-1.59731,-16.72469,16.63378,-1.59826,30.0344,-10.90627,6.38634,4.94114,0.88641,0.55538,3.71001,-2.44739,-0.28165,1.63537,-1.62362,0.49027,1.64162,0.84513,-0.4617,0.33421,-0.09708,-0.07823,0.18885,0.03851,0.04763
1522,5.90042,-17.98558,5.44181,-10.73574,7.63759,1.26555,-2.55056,-16.3449,4.40961,-16.52462,7.01764,2.35437,-29.49021,19.2218,-0.25324,-22.82296,-2.00804,-1.66837,-12.95796,11.7235,-5.89086,34.01338,-9.27762,5.37405,1.27029,1.48621,0.36869,1.39948,-6.37923,-3.30419,1.56524,-1.32247,-0.29979,1.35044,0.89412,-2.10243,0.30983,-0.08823,-0.13832,0.03233,0.02855,-0.14881
1523,5.53718,-18.60114,5.80576,-11.74755,6.48396,0.79415,-5.57272,-22.66883,5.12429,-16.23752,6.45789,0.87136,-29.59724,19.33835,-0.30537,-22.79222,-2.18802,-1.71385,-15.55576,5.41902,-4.9908,27.46952,-8.94018,6.98249,-1.32158,1.22348,0.46308,1.84259,-5.45677,-2.74197,1.02495,-1.0507,-0.3871,1.49548,0.93031,-1.68259,0.12842,-0.12994,-0.02603,-0.03878,-0.01277,-0.06036
