Unnamed: 0_level_0,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,FullBody_AngMom,FullBody_AngMom,FullBody_AngMom
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1534,0.0001,-9e-05,-8e-05,0.00545,-0.00367,-0.00405,-0.30974,0.30385,0.0541,-5e-05,0.01163,0.00021,0.00523,0.00617,0.00904,0.00104,0.00062,0.0028,-0.00083,-0.00346,-0.0,0.00403,-0.00669,-0.00318,0.00181,-0.00187,-0.00127,-0.00551,0.00718,0.00135,0.04544,-0.059,0.01798,-0.00653,0.00748,0.00136,-0.00037,0.00131,0.00136,-0.00037,0.00131,0.00136,0.0,-1e-05,0.0,0.03563,-0.0257,0.02904,-0.00361,-0.00135,0.0043,-0.00045,0.00022,-0.00101,-0.00045,0.00022,-0.00101,0.0,0.0,-0.0,-1.67475,1.09291,0.14707
1535,3e-05,-0.00016,-9e-05,0.00228,-0.00621,-0.00426,-0.21366,0.27411,0.06187,0.00018,0.01076,0.0012,0.00615,0.00671,0.00841,0.00109,0.00067,0.00198,-0.00167,-0.00315,0.00144,0.00508,-0.0064,-0.00277,0.00201,-0.00183,-0.00139,-0.00369,0.00523,0.00311,0.03757,-0.06057,0.02016,-0.00385,0.00983,0.00036,-0.00057,-0.00044,0.00244,-0.00057,-0.00044,0.00244,-1e-05,-1e-05,1e-05,0.04315,-0.00937,0.00927,-0.00636,-0.00327,0.0006,0.00091,-0.00043,0.00092,0.00091,-0.00043,0.00092,-1e-05,-1e-05,0.0,-1.4936,1.31516,0.15174
1536,-8e-05,-0.00022,2e-05,-0.00339,-0.00896,0.00163,-0.13643,0.24066,0.06717,4e-05,0.00967,0.00267,0.00596,0.00723,0.00821,0.00093,0.00063,0.00151,-0.00319,-0.00222,0.0031,0.00665,-0.00614,-0.00319,0.0017,-0.00105,-0.00171,-0.00102,0.00404,0.00439,0.032,-0.05348,0.0159,-0.00262,0.00924,-0.00029,-0.00038,-0.00154,0.0023,-0.00038,-0.00154,0.0023,-1e-05,-1e-05,1e-05,0.0436,0.00259,-0.00224,-0.00701,-0.00534,-0.00182,0.00156,-0.0007,0.00226,0.00156,-0.0007,0.00226,-2e-05,-1e-05,1e-05,-1.40778,1.52103,0.14418
1537,-0.00015,-0.00021,0.0002,-0.00713,-0.00951,0.01077,-0.13185,0.21845,0.06261,0.00061,0.00908,0.00427,0.00508,0.00798,0.00805,0.00077,0.00038,0.00104,-0.00456,-0.00115,0.00371,0.00733,-0.00652,-0.00399,0.00115,-0.00031,-0.00184,0.00023,0.00545,0.00429,0.03648,-0.04075,0.00916,-0.00427,0.00603,0.00018,0.00016,-0.00116,0.00093,0.00016,-0.00116,0.00093,-0.0,-0.0,0.0,0.03817,0.00064,-0.00016,-0.00593,-0.00546,-0.00144,0.00131,-0.00044,0.00206,0.00131,-0.00044,0.00206,-2e-05,-0.0,1e-05,-1.38831,1.63656,0.13312
1538,-0.00011,-0.00012,0.00036,-0.00594,-0.0062,0.01897,-0.18273,0.21246,0.05517,0.00239,0.00966,0.00473,0.00432,0.0085,0.0075,0.00068,0.00015,0.00047,-0.00545,-0.00075,0.00338,0.00689,-0.00716,-0.00447,0.00098,-0.00033,-0.00181,9e-05,0.00744,0.00336,0.04184,-0.03002,0.00702,-0.00632,0.00279,0.00136,0.00064,0.00022,-0.00084,0.00064,0.00022,-0.00084,1e-05,0.0,-0.0,0.03266,-0.01199,0.0067,-0.00411,-0.00302,0.00058,0.0004,-0.00012,0.00075,0.0004,-0.00012,0.00075,-1e-05,-0.0,0.0,-1.40573,1.63486,0.13228
1539,-6e-05,2e-05,0.00045,-0.00358,-0.00102,0.0227,-0.22877,0.2185,0.06494,0.0043,0.01102,0.00337,0.00377,0.00798,0.00683,0.00042,0.0002,0.00021,-0.00545,-0.00118,0.00277,0.00602,-0.00721,-0.00431,0.00142,-0.00109,-0.00183,-0.00015,0.00676,0.00347,0.03351,-0.02376,0.00955,-0.00575,0.00156,0.00199,0.00075,0.00133,-0.00181,0.00075,0.00133,-0.00181,2e-05,0.0,-1e-05,0.03151,-0.02545,0.01169,-0.0021,7e-05,0.00248,-0.00091,-6e-05,-0.00065,-0.00091,-6e-05,-0.00065,1e-05,-0.0,-0.0,-1.42059,1.54631,0.15549
1540,-8e-05,0.00012,0.00039,-0.00495,0.00333,0.01959,-0.23122,0.22492,0.09507,0.00469,0.01189,0.00122,0.00327,0.00673,0.0063,8e-05,0.00043,0.00035,-0.00429,-0.00158,0.00219,0.00516,-0.00638,-0.0035,0.00211,-0.00195,-0.00178,-0.00031,0.00376,0.00562,0.0123,-0.02116,0.01461,-0.00272,0.00272,0.0017,0.0005,0.00126,-0.00153,0.0005,0.00126,-0.00153,2e-05,-0.0,-1e-05,0.03756,-0.02938,0.00961,-0.00092,0.00142,0.00263,-0.00191,-0.00023,-0.00137,-0.00191,-0.00023,-0.00137,1e-05,-1e-05,-0.0,-1.36583,1.45871,0.18771
1541,-0.00015,0.00017,0.00023,-0.00842,0.00664,0.01119,-0.20183,0.22082,0.12152,0.00302,0.01121,0.00015,0.00295,0.00588,0.00589,4e-05,0.00055,0.00061,-0.00258,-0.00127,0.00174,0.00434,-0.00517,-0.00235,0.00247,-0.00228,-0.00143,-0.00051,0.00105,0.00769,-0.00538,-0.02328,0.01895,-1e-05,0.00476,0.00111,0.0001,0.00044,-0.00061,0.0001,0.00044,-0.00061,1e-05,-0.0,-0.0,0.04884,-0.0188,0.00045,-0.00183,0.00033,0.00064,-0.00193,-0.00042,-0.00132,-0.00193,-0.00042,-0.00132,1e-05,-1e-05,-0.0,-1.22323,1.42303,0.19159
1542,-0.00017,0.0002,7e-05,-0.00931,0.00831,0.00338,-0.18105,0.20379,0.12854,7e-05,0.00905,0.00091,0.00281,0.00596,0.00558,0.00053,0.00049,0.00092,-0.00153,-0.00056,0.00139,0.00363,-0.00431,-0.0016,0.00228,-0.00194,-0.00087,-0.00066,-0.00036,0.00662,-0.00525,-0.03005,0.01423,-0.0002,0.0055,0.00027,-0.00024,-1e-05,5e-05,-0.00024,-1e-05,5e-05,-0.0,-0.0,0.0,0.05675,-0.00111,-0.00267,-0.00452,-0.00235,-0.00126,-0.00111,-0.00034,-0.00097,-0.00111,-0.00034,-0.00097,1e-05,-1e-05,-0.0,-1.08508,1.38753,0.16546
1543,-0.00013,0.00012,2e-05,-0.00672,0.00512,0.00083,-0.19873,0.17685,0.1251,-0.00301,0.0065,0.00254,0.00267,0.00658,0.00531,0.00125,0.00059,0.00138,-0.00139,-9e-05,0.00086,0.00327,-0.00412,-0.00193,0.00184,-0.00124,-0.00054,-0.00152,-0.00085,0.00302,0.01034,-0.03685,-0.00083,-0.00336,0.00456,-0.0008,-0.00034,0.00022,0.0002,-0.00034,0.00022,0.0002,-1e-05,0.0,0.0,0.05511,0.00844,0.00871,-0.00716,-0.0049,-0.00086,1e-05,3e-05,-0.00065,1e-05,3e-05,-0.00065,0.0,0.0,-0.0,-1.06547,1.28083,0.14421
1544,-7e-05,-6e-05,4e-05,-0.00333,-0.00255,0.00217,-0.25163,0.14651,0.11703,-0.00536,0.00497,0.00325,0.00235,0.00678,0.00518,0.0014,0.00097,0.00175,-0.00101,-0.00036,-4e-05,0.00348,-0.00426,-0.00307,0.00154,-0.00065,-0.00073,-0.00377,-0.00065,0.00095,0.02486,-0.03882,-0.01102,-0.00672,0.00377,-0.00114,-0.0002,0.00035,0.00016,-0.0002,0.00035,0.00016,-0.0,1e-05,0.0,0.04733,0.00169,0.02023,-0.00813,-0.00517,0.00091,0.0011,0.00027,-0.00013,0.0011,0.00027,-0.00013,-1e-05,1e-05,-0.0,-1.15609,1.12388,0.13753
1545,-5e-05,-0.00016,4e-05,-0.00222,-0.00674,0.00271,-0.30719,0.12772,0.09965,-0.00643,0.00495,0.00226,0.00189,0.00594,0.00532,0.00061,0.00137,0.00179,0.00023,-0.00138,-0.00094,0.00401,-0.00429,-0.00395,0.00158,-0.00047,-0.0012,-0.00549,0.00042,0.00254,0.02674,-0.03634,-0.00679,-0.00777,0.00404,-0.00035,-2e-05,-0.00011,0.00032,-2e-05,-0.00011,0.00032,-0.0,1e-05,0.0,0.03805,-0.0155,0.01844,-0.00687,-0.00305,0.00211,0.00146,0.00014,0.00052,0.00146,0.00014,0.00052,-1e-05,1e-05,0.0,-1.20216,1.01595,0.13174
