Unnamed: 0_level_0,FullBody_CoG_pos,FullBody_CoG_pos,FullBody_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_CoG_pos,Head_CoG_pos,Head_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1534,0.12875,0.27376,0.88634,0.08009,0.62555,0.8194,0.48761,0.17858,0.8787,-0.01975,0.51501,0.96158,0.3887,0.08996,1.02772,-0.04603,0.43931,1.15912,0.30751,0.09976,1.21297,0.17412,0.39148,1.51073,0.16112,0.3446,1.49709,0.12461,0.27549,1.13906,0.08903,0.20403,0.84681,0.05602,0.35347,0.65986,0.19164,0.14746,0.66366,0.08131,0.49049,0.28696,0.18083,0.10383,0.27557,0.09011,0.58225,0.01703,0.16778,0.06506,0.01731,0.08373,0.59126,0.01656,0.1812,0.05689,0.017
1535,0.12893,0.27437,0.88597,0.08373,0.62757,0.82128,0.4836,0.18356,0.87712,-0.01793,0.51648,0.96173,0.38705,0.09265,1.02629,-0.0453,0.44063,1.15856,0.30789,0.10127,1.21175,0.17508,0.39323,1.50986,0.162,0.34639,1.49615,0.12499,0.27626,1.13853,0.08882,0.20393,0.84658,0.05571,0.3535,0.65974,0.19182,0.14766,0.66341,0.08112,0.49066,0.287,0.18125,0.10425,0.27555,0.09006,0.58216,0.01705,0.16768,0.06518,0.01744,0.08367,0.59117,0.01657,0.18114,0.05706,0.01716
1536,0.12913,0.27498,0.88555,0.08715,0.62947,0.82333,0.4797,0.18825,0.87556,-0.0162,0.5177,0.96201,0.38547,0.09523,1.02485,-0.04452,0.44166,1.15804,0.30828,0.10263,1.21045,0.17602,0.39501,1.50891,0.16292,0.34818,1.49518,0.12555,0.2771,1.13805,0.08852,0.20382,0.84621,0.05525,0.35356,0.65952,0.19195,0.14788,0.66302,0.08086,0.4908,0.28692,0.18154,0.10471,0.27538,0.09013,0.58208,0.01706,0.16761,0.06535,0.01754,0.08371,0.59107,0.01658,0.1811,0.05729,0.01736
1537,0.12937,0.27558,0.88511,0.09063,0.6309,0.82519,0.47599,0.19253,0.87395,-0.01434,0.51862,0.96231,0.38409,0.09769,1.0234,-0.04355,0.44245,1.15741,0.30884,0.10396,1.20919,0.17706,0.39679,1.50788,0.16406,0.34992,1.49419,0.1262,0.27796,1.13763,0.08824,0.20371,0.84581,0.05477,0.35361,0.6593,0.19203,0.14811,0.66256,0.08061,0.49092,0.28684,0.18175,0.10514,0.2751,0.09021,0.58202,0.01709,0.16761,0.06555,0.01754,0.08377,0.59099,0.01661,0.18113,0.05754,0.01745
1538,0.12964,0.27613,0.88468,0.09432,0.63183,0.8268,0.47259,0.19645,0.87232,-0.01232,0.5193,0.96248,0.38291,0.10015,1.02189,-0.04249,0.44316,1.15659,0.30963,0.10533,1.20802,0.17818,0.39854,1.50675,0.16543,0.35158,1.49312,0.12685,0.27875,1.13719,0.08801,0.20356,0.84548,0.05436,0.35359,0.65918,0.19205,0.14833,0.66208,0.08042,0.49099,0.28684,0.18194,0.10554,0.27477,0.09021,0.58194,0.01715,0.16763,0.06577,0.0174,0.08374,0.59089,0.01668,0.18115,0.05775,0.0173
1539,0.12988,0.27663,0.88422,0.09817,0.63255,0.82836,0.4695,0.20023,0.8706,-0.01032,0.51986,0.9625,0.38184,0.10279,1.02027,-0.04152,0.44389,1.15562,0.31059,0.10687,1.20687,0.1793,0.40025,1.50553,0.16688,0.3532,1.49194,0.12737,0.27943,1.13661,0.0878,0.20339,0.84522,0.05405,0.35355,0.65914,0.19199,0.14853,0.66165,0.08026,0.49109,0.28693,0.18209,0.10587,0.27446,0.09011,0.58186,0.0172,0.16756,0.06598,0.01714,0.08364,0.59081,0.01672,0.18105,0.05793,0.01694
1540,0.13006,0.27712,0.8837,0.10194,0.63335,0.83007,0.46659,0.20396,0.86867,-0.0085,0.52037,0.96239,0.38083,0.10558,1.01854,-0.0407,0.44458,1.15463,0.31157,0.10863,1.20565,0.18038,0.40192,1.50429,0.16831,0.35476,1.49074,0.12774,0.28004,1.13585,0.08756,0.20326,0.84497,0.05376,0.35354,0.65909,0.19191,0.14867,0.66129,0.0801,0.49131,0.28705,0.18217,0.10606,0.2742,0.09002,0.58184,0.01716,0.16736,0.06618,0.01686,0.08357,0.5908,0.01664,0.18083,0.05809,0.01653
1541,0.1302,0.2776,0.88314,0.10534,0.63437,0.83187,0.46378,0.20745,0.86664,-0.00689,0.52087,0.96223,0.37982,0.10821,1.0168,-0.03991,0.44512,1.15372,0.31245,0.11039,1.20435,0.18146,0.40349,1.5031,0.16961,0.35625,1.48964,0.12804,0.28063,1.13497,0.08729,0.20318,0.84469,0.05343,0.35359,0.65899,0.19189,0.14879,0.66098,0.0799,0.4917,0.28716,0.18221,0.10616,0.27398,0.09004,0.58193,0.01706,0.16711,0.06634,0.01664,0.08361,0.59091,0.01649,0.18056,0.05822,0.01625
1542,0.13037,0.27809,0.8826,0.10817,0.6356,0.83351,0.46104,0.21053,0.86481,-0.00541,0.5214,0.96204,0.37883,0.11038,1.01522,-0.03901,0.44556,1.1529,0.3132,0.1119,1.20306,0.18248,0.40496,1.50202,0.17071,0.35767,1.48869,0.12844,0.28123,1.13412,0.08704,0.20317,0.84438,0.05305,0.35375,0.65885,0.19196,0.14894,0.6607,0.07966,0.4922,0.28725,0.18231,0.10626,0.27379,0.09017,0.58208,0.01699,0.16695,0.06641,0.01652,0.08376,0.59106,0.01637,0.1804,0.05829,0.01614
