Unnamed: 0_level_0,FullBody_CoG_vel,FullBody_CoG_vel,FullBody_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1248,-0.04176,0.0746,-0.04446,0.11806,-0.01645,0.01591,0.06049,0.59947,0.0494,0.02718,-0.03537,-0.0501,0.10353,0.42735,-0.03054,-0.08574,0.00531,-0.08574,0.08215,0.2664,-0.06171,-0.08337,0.17977,-0.06199,-0.07635,0.18116,-0.07017,-0.04305,0.09221,-0.04995,-0.07097,0.01523,-0.04387,-0.08048,0.00429,-0.0326,-0.03343,0.06307,-0.04552,-0.03794,0.01798,-0.02134,-0.00155,0.05486,-0.03084,0.00259,0.02287,-0.01097,0.00437,0.02028,-0.01316,0.00079,0.02115,-0.0142,0.00564,0.02314,-0.01079
1249,-0.04484,0.08228,-0.04663,0.12833,-0.01065,-0.00329,0.078,0.57222,0.0511,0.03879,-0.03457,-0.0722,0.09638,0.4129,-0.03571,-0.08003,-0.00194,-0.10287,0.08745,0.28326,-0.06039,-0.06271,0.16211,-0.06056,-0.06069,0.16381,-0.0667,-0.06203,0.10008,-0.05341,-0.05677,0.03522,-0.04159,-0.07405,0.02033,-0.03976,-0.03385,0.07287,-0.03928,-0.04269,0.02738,-0.03279,-0.01514,0.0554,-0.02822,-0.00854,0.03783,-0.01627,-0.0004,0.0134,-0.01273,-0.00943,0.03713,-0.01557,0.00039,0.01514,-0.01038
1250,-0.05023,0.08788,-0.04225,0.13541,-0.00795,-0.01201,0.06618,0.56506,0.06334,0.04942,-0.05202,-0.09505,0.0871,0.39412,-0.03217,-0.06504,-0.01731,-0.1288,0.09545,0.27558,-0.06017,-0.04368,0.14994,-0.05587,-0.04707,0.15367,-0.06464,-0.07697,0.10288,-0.05269,-0.05715,0.0571,-0.02908,-0.0718,0.03957,-0.03063,-0.04509,0.08455,-0.02704,-0.03769,0.02909,-0.03009,-0.03351,0.05608,-0.0196,-0.0206,0.03048,-0.0155,-0.00535,-0.00052,-0.00778,-0.02045,0.03092,-0.01036,-0.00506,-0.0001,-0.0034
1251,-0.05436,0.08937,-0.03456,0.13604,-0.02197,-0.01509,0.03309,0.57841,0.07694,0.06064,-0.06703,-0.09498,0.07583,0.38664,-0.02496,-0.04514,-0.02209,-0.12398,0.10109,0.26073,-0.05824,-0.04353,0.15162,-0.05302,-0.0472,0.15644,-0.06483,-0.08087,0.10131,-0.04887,-0.06571,0.06637,-0.01542,-0.07636,0.04573,-0.01178,-0.05482,0.09438,-0.02015,-0.03315,0.01981,-0.01794,-0.04441,0.06048,-0.01298,-0.02258,0.01023,-0.01236,-0.0111,-0.00798,-0.00209,-0.02162,0.01139,-0.00619,-0.01091,-0.00793,0.00453
1252,-0.05485,0.09044,-0.02653,0.13061,-0.05089,-0.02143,-0.00224,0.60388,0.07979,0.06706,-0.05561,-0.06328,0.06585,0.39865,-0.02189,-0.03195,-0.0024,-0.06691,0.10265,0.26061,-0.04979,-0.06647,0.16452,-0.05776,-0.06358,0.1675,-0.06828,-0.0774,0.10369,-0.04305,-0.06447,0.0644,-0.0058,-0.08705,0.03353,0.00654,-0.04751,0.1028,-0.02265,-0.0438,0.00648,-0.00411,-0.03933,0.06276,-0.0124,-0.01718,-0.0015,-0.00738,-0.01496,-0.0053,0.00279,-0.01607,-0.00043,-0.00499,-0.01481,-0.00528,0.00893
1253,-0.05183,0.09087,-0.01904,0.12526,-0.07802,-0.02727,-0.02837,0.61367,0.06747,0.06076,-0.03171,-0.02516,0.05945,0.41621,-0.02146,-0.03309,0.02471,-0.00121,0.09895,0.27518,-0.03329,-0.09373,0.17432,-0.06575,-0.08527,0.1745,-0.07148,-0.07263,0.1099,-0.03572,-0.04828,0.05938,0.0013,-0.09374,0.01493,0.01502,-0.02751,0.10328,-0.02249,-0.06479,0.00052,0.00435,-0.02506,0.05272,-0.01036,-0.01204,0.00161,-0.00469,-0.01186,-0.00375,0.0098,-0.0115,0.00185,-0.00854,-0.01215,-0.00457,0.01275
1254,-0.04612,0.08697,-0.01398,0.11868,-0.08696,-0.02355,-0.04347,0.58056,0.0457,0.04232,-0.03018,-0.01375,0.05657,0.41596,-0.01549,-0.04177,0.02697,0.01213,0.08798,0.29061,-0.01563,-0.09786,0.17143,-0.06656,-0.09632,0.17177,-0.06851,-0.06603,0.11139,-0.02821,-0.02896,0.05512,0.00545,-0.08515,0.00707,0.0093,-0.01416,0.08855,-0.01147,-0.07551,0.00567,0.00206,-0.01647,0.03051,-0.0031,-0.01016,0.00674,-0.0114,-0.00088,-0.01027,0.01592,-0.01036,0.00608,-0.0197,-0.00163,-0.01206,0.01588
1255,-0.03863,0.07919,-0.01217,0.1032,-0.07084,-0.01494,-0.04815,0.5088,0.02344,0.02671,-0.04852,-0.03102,0.05662,0.39223,-0.0019,-0.0419,0.00382,-0.02148,0.07106,0.30029,-0.00428,-0.07318,0.16181,-0.05711,-0.09047,0.16592,-0.05874,-0.05406,0.1043,-0.02066,-0.01989,0.05026,0.00406,-0.06612,0.01255,-0.00392,-0.01642,0.06535,0.00131,-0.06409,0.01342,-0.00677,-0.01652,0.01058,0.00178,-0.01162,0.0028,-0.02105,0.01398,-0.01514,0.01269,-0.01224,0.00181,-0.02824,0.01338,-0.01653,0.01158
1256,-0.03184,0.07123,-0.00985,0.08198,-0.04043,-0.01768,-0.04471,0.4323,0.00698,0.02964,-0.04837,-0.04982,0.05757,0.3604,0.01143,-0.02633,-0.01035,-0.04242,0.05339,0.3038,0.00182,-0.04457,0.15643,-0.0441,-0.07707,0.16422,-0.04768,-0.04066,0.0927,-0.01074,-0.02438,0.04129,-4e-05,-0.05211,0.01758,-0.01159,-0.02512,0.04812,0.00698,-0.03852,0.01247,-0.01036,-0.01373,0.00616,0.00113,-0.01477,-0.00789,-0.01761,0.02853,-0.00842,0.00063,-0.01567,-0.00872,-0.01867,0.02865,-0.00809,-0.00078
