Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
341,9.61792,-36.34701,375.90942,-15.96492,52.85832,402.69223
342,9.57613,-36.38674,376.01266,-15.97344,52.8231,402.63309
343,9.5339,-36.42566,376.11566,-15.98123,52.78758,402.57217
344,9.49126,-36.46373,376.21838,-15.98827,52.7518,402.50955
345,9.44821,-36.5009,376.32071,-15.99456,52.71579,402.44531
346,9.40478,-36.53716,376.42255,-16.0001,52.67959,402.37952
347,9.36097,-36.57245,376.52386,-16.00487,52.64323,402.31219
348,9.31681,-36.60677,376.62457,-16.00888,52.60676,402.24353
349,9.2723,-36.64006,376.72458,-16.01212,52.57022,402.17355
350,9.22746,-36.67231,376.82376,-16.01459,52.53363,402.10226
351,9.18232,-36.70347,376.92209,-16.01629,52.49704,402.02982
352,9.13688,-36.73352,377.0195,-16.0172,52.46049,401.95624
353,9.09115,-36.76242,377.11588,-16.01733,52.424,401.88165
354,9.04517,-36.79017,377.21109,-16.01669,52.38762,401.80609
355,8.99895,-36.81675,377.30518,-16.01528,52.35136,401.72964
356,8.95253,-36.84216,377.39801,-16.01312,52.31527,401.65234
357,8.90591,-36.86638,377.48953,-16.01022,52.27935,401.57428
358,8.85913,-36.88941,377.57962,-16.00659,52.24365,401.49554
359,8.81221,-36.91124,377.66821,-16.00223,52.20819,401.41623
360,8.76517,-36.93185,377.75525,-15.99717,52.17301,401.33633
361,8.71803,-36.95124,377.84067,-15.9914,52.13812,401.25598
362,8.67082,-36.9694,377.92438,-15.98495,52.10356,401.1752
363,8.62357,-36.98634,378.00635,-15.97783,52.06934,401.09409
364,8.5763,-37.00205,378.08649,-15.97006,52.03549,401.0127
365,8.52905,-37.01657,378.16473,-15.96166,52.002,400.93106
366,8.48182,-37.02987,378.24109,-15.95266,51.96891,400.84924
367,8.43467,-37.04199,378.31546,-15.94308,51.93623,400.76733
368,8.3876,-37.05291,378.38782,-15.93294,51.90396,400.68539
369,8.34066,-37.06266,378.45813,-15.92225,51.87214,400.60342
370,8.29386,-37.07123,378.52628,-15.91105,51.84077,400.52155
371,8.24724,-37.07864,378.59222,-15.89935,51.80987,400.43979
372,8.20082,-37.08491,378.65601,-15.88718,51.77945,400.35822
373,8.15464,-37.09007,378.71759,-15.87458,51.74951,400.27682
374,8.10872,-37.09413,378.77686,-15.86158,51.72005,400.19577
375,8.0631,-37.09712,378.83386,-15.8482,51.69109,400.11502
376,8.01782,-37.09907,378.88858,-15.83448,51.66264,400.03464
377,7.97289,-37.1,378.94098,-15.82046,51.63469,399.95465
378,7.92835,-37.09994,378.99103,-15.80615,51.60725,399.87515
379,7.88424,-37.0989,379.03867,-15.7916,51.58033,399.79617
380,7.84058,-37.09693,379.08395,-15.77684,51.55393,399.71774
381,7.7974,-37.09405,379.12686,-15.76189,51.52806,399.63992
382,7.75474,-37.09031,379.16739,-15.74679,51.50271,399.56277
383,7.71262,-37.08575,379.2056,-15.73157,51.47787,399.4863
384,7.67108,-37.08043,379.24155,-15.71626,51.45356,399.41052
385,7.63015,-37.07436,379.27518,-15.7009,51.42976,399.33554
386,7.58986,-37.06762,379.30655,-15.68552,51.40647,399.26138
387,7.55024,-37.06023,379.33563,-15.67014,51.3837,399.18808
388,7.51132,-37.05224,379.36258,-15.6548,51.36143,399.11563
389,7.47313,-37.04369,379.3873,-15.63954,51.33968,399.04413
390,7.4357,-37.03464,379.40988,-15.62437,51.31842,398.97363
391,7.39906,-37.02512,379.43042,-15.60933,51.29768,398.90414
392,7.36323,-37.01518,379.44888,-15.59445,51.27744,398.83563
393,7.32823,-37.00487,379.46542,-15.57975,51.25769,398.76831
394,7.2941,-36.99424,379.48001,-15.56526,51.23846,398.70212
395,7.26086,-36.98331,379.49277,-15.55101,51.21972,398.63702
396,7.22854,-36.97217,379.50375,-15.53703,51.20148,398.57321
397,7.19716,-36.96083,379.51297,-15.52334,51.18375,398.51065
398,7.16675,-36.94935,379.52054,-15.50997,51.16651,398.4494
399,7.13734,-36.93777,379.52646,-15.49694,51.14977,398.3895
400,7.10894,-36.92614,379.53088,-15.48427,51.13354,398.33096
401,7.08158,-36.91448,379.53391,-15.47198,51.11782,398.27386
402,7.05528,-36.90284,379.53555,-15.46009,51.10261,398.21823
403,7.03008,-36.89127,379.53592,-15.44861,51.08792,398.16412
404,7.00598,-36.8798,379.5351,-15.43756,51.07376,398.1116
405,6.98302,-36.86847,379.53317,-15.42697,51.06013,398.06064
406,6.96121,-36.85732,379.53021,-15.41684,51.04703,398.01138
407,6.94059,-36.84639,379.52634,-15.4072,51.03447,397.96381
408,6.92116,-36.83572,379.52155,-15.39806,51.02246,397.91794
409,6.90295,-36.82531,379.51602,-15.38942,51.011,397.87384
410,6.88597,-36.81522,379.50983,-15.38128,51.00011,397.83154
411,6.87023,-36.80545,379.50305,-15.37365,50.98978,397.79111
412,6.85575,-36.79603,379.49576,-15.36655,50.98003,397.75253
413,6.84254,-36.78699,379.4881,-15.35997,50.97088,397.71588
414,6.83063,-36.77836,379.48007,-15.35392,50.96231,397.68121
415,6.82002,-36.77016,379.47186,-15.34841,50.95436,397.6485
416,6.81074,-36.76241,379.46347,-15.34344,50.94701,397.61786
417,6.80277,-36.7551,379.45511,-15.33901,50.94028,397.58923
418,6.7961,-36.74822,379.44669,-15.33512,50.93419,397.56274
419,6.79073,-36.74177,379.43845,-15.33176,50.92875,397.53836
420,6.78664,-36.73571,379.4303,-15.32893,50.92395,397.51617
421,6.78383,-36.73005,379.42245,-15.32662,50.91983,397.49615
422,6.78229,-36.72476,379.41495,-15.32483,50.91639,397.47833
423,6.78201,-36.71984,379.40784,-15.32356,50.91363,397.46277
424,6.78298,-36.71527,379.40125,-15.3228,50.91158,397.44952
425,6.78519,-36.71104,379.39517,-15.32256,50.91024,397.4386
426,6.78862,-36.70713,379.38977,-15.32281,50.90961,397.42999
427,6.79323,-36.70353,379.38498,-15.32354,50.90973,397.42368
428,6.79901,-36.70023,379.38089,-15.32475,50.91058,397.4198
429,6.80593,-36.6972,379.37756,-15.32642,50.91219,397.41824
430,6.81397,-36.69445,379.37494,-15.32854,50.91456,397.41913
431,6.82309,-36.69194,379.3732,-15.33109,50.9177,397.42239
432,6.83329,-36.68967,379.37231,-15.33407,50.92163,397.4281
433,6.84452,-36.68763,379.37234,-15.33747,50.92635,397.43625
434,6.85676,-36.68579,379.37332,-15.34126,50.93187,397.44684
435,6.86999,-36.68416,379.37521,-15.34544,50.9382,397.4599
436,6.88418,-36.68273,379.37811,-15.34998,50.94534,397.47534
437,6.8993,-36.6815,379.38199,-15.35488,50.95329,397.49326
438,6.91533,-36.68045,379.38684,-15.36011,50.96206,397.51349
439,6.93224,-36.67958,379.39276,-15.36565,50.97163,397.53616
440,6.95,-36.67891,379.39969,-15.3715,50.98203,397.56119
441,6.96858,-36.67841,379.40765,-15.37762,50.99324,397.58856
442,6.98795,-36.67808,379.41672,-15.38402,51.00528,397.61826
443,7.0081,-36.67793,379.42682,-15.39065,51.01813,397.65027
444,7.02899,-36.67794,379.43805,-15.39752,51.03181,397.68457
445,7.0506,-36.67812,379.45038,-15.40461,51.04629,397.7211
446,7.07291,-36.67848,379.46384,-15.41189,51.06158,397.75989
447,7.09589,-36.67902,379.47849,-15.41935,51.07765,397.80084
448,7.11953,-36.67974,379.49429,-15.42697,51.09451,397.84393
449,7.14378,-36.68063,379.51129,-15.43473,51.11213,397.88913
450,7.16865,-36.68171,379.52948,-15.44262,51.13052,397.93637
451,7.19409,-36.68297,379.54892,-15.45063,51.14967,397.98569
452,7.22008,-36.68442,379.56961,-15.45872,51.16957,398.03702
453,7.2466,-36.68605,379.59158,-15.4669,51.19018,398.09027
454,7.27361,-36.68787,379.61481,-15.47514,51.21151,398.14545
455,7.30109,-36.68987,379.63937,-15.48344,51.23353,398.20248
456,7.32901,-36.69206,379.66519,-15.49177,51.25621,398.26135
457,7.35732,-36.69444,379.69241,-15.50013,51.27954,398.32196
458,7.38601,-36.69699,379.72092,-15.5085,51.30351,398.38434
459,7.41504,-36.69973,379.75085,-15.51687,51.32808,398.44833
460,7.44439,-36.70266,379.78214,-15.52522,51.35323,398.51401
461,7.47401,-36.70576,379.81482,-15.53354,51.37896,398.58124
462,7.50388,-36.70905,379.84888,-15.54183,51.40522,398.64999
463,7.53394,-36.71252,379.88437,-15.55006,51.43201,398.72021
464,7.56417,-36.71617,379.92123,-15.55823,51.45927,398.79184
465,7.59452,-36.71999,379.95947,-15.56632,51.48701,398.86481
466,7.62494,-36.72399,379.99905,-15.57433,51.51518,398.93906
467,7.65541,-36.72816,380.04001,-15.58224,51.54376,399.01456
468,7.68587,-36.7325,380.08234,-15.59004,51.57273,399.09125
469,7.71629,-36.73701,380.12604,-15.59772,51.60205,399.16904
470,7.74662,-36.74169,380.17108,-15.60526,51.6317,399.24786
471,7.77683,-36.74653,380.21744,-15.61267,51.66166,399.32776
472,7.80687,-36.75154,380.26511,-15.61993,51.6919,399.40854
473,7.83671,-36.75673,380.31403,-15.62703,51.7224,399.4903
474,7.86629,-36.76207,380.36417,-15.63397,51.75313,399.57291
475,7.89558,-36.76759,380.4155,-15.64075,51.78406,399.65628
476,7.92454,-36.77327,380.46802,-15.64734,51.81517,399.74042
477,7.95312,-36.77912,380.52167,-15.65375,51.84644,399.82529
478,7.98128,-36.78514,380.57645,-15.65997,51.87783,399.91077
479,8.00899,-36.79132,380.63229,-15.66599,51.90933,399.99689
480,8.03619,-36.79767,380.68915,-15.67181,51.94092,400.08356
481,8.06287,-36.80418,380.74704,-15.67742,51.97255,400.17072
482,8.08896,-36.81086,380.80582,-15.68282,52.00421,400.25836
483,8.11444,-36.8177,380.86551,-15.68801,52.03587,400.3465
484,8.13926,-36.8247,380.92599,-15.69298,52.06751,400.435
485,8.16339,-36.83184,380.98727,-15.69773,52.0991,400.52383
486,8.18679,-36.83915,381.04932,-15.70226,52.13062,400.61304
487,8.20941,-36.84661,381.11203,-15.70656,52.16203,400.70251
488,8.23123,-36.85422,381.17538,-15.71063,52.19332,400.79221
489,8.2522,-36.86198,381.23929,-15.71446,52.22446,400.88214
490,8.27232,-36.86991,381.30374,-15.71807,52.25544,400.97226
491,8.29154,-36.87799,381.36859,-15.72144,52.28624,401.06253
492,8.30984,-36.88625,381.43387,-15.72459,52.31683,401.15292
493,8.3272,-36.89468,381.49942,-15.72751,52.34721,401.24347
494,8.34359,-36.90328,381.56528,-15.73019,52.37734,401.33408
495,8.35898,-36.91206,381.63129,-15.73265,52.40722,401.4248
496,8.37334,-36.92103,381.69748,-15.73488,52.43682,401.51553
497,8.38665,-36.93018,381.7637,-15.73688,52.46614,401.60629
498,8.3989,-36.93954,381.82999,-15.73866,52.49515,401.69702
499,8.41007,-36.9491,381.89615,-15.74022,52.52385,401.78781
500,8.42013,-36.95887,381.96225,-15.74157,52.55223,401.87857
501,8.4291,-36.96887,382.02814,-15.7427,52.5803,401.96933
502,8.43693,-36.9791,382.09381,-15.74362,52.60803,402.06006
503,8.44362,-36.98958,382.15915,-15.74434,52.63543,402.15076
504,8.44917,-37.00031,382.22412,-15.74486,52.66248,402.24139
505,8.45354,-37.0113,382.28867,-15.74518,52.68918,402.33203
506,8.45673,-37.02256,382.35272,-15.74531,52.71552,402.42261
507,8.45874,-37.0341,382.41626,-15.74525,52.74151,402.51312
508,8.45957,-37.04593,382.47919,-15.74501,52.76714,402.60358
509,8.45922,-37.05808,382.54147,-15.74459,52.79242,402.694
510,8.45769,-37.07055,382.60309,-15.744,52.81734,402.78439
511,8.45499,-37.08335,382.66397,-15.74325,52.84191,402.87476
512,8.45111,-37.09651,382.72409,-15.74233,52.86613,402.96509
513,8.44606,-37.11003,382.78342,-15.74125,52.89001,403.05536
514,8.43984,-37.12392,382.84186,-15.74002,52.91353,403.1456
515,8.43246,-37.13821,382.89944,-15.73865,52.93671,403.23581
516,8.42393,-37.15289,382.95602,-15.73713,52.95956,403.32605
517,8.41428,-37.168,383.01175,-15.73548,52.98207,403.41617
518,8.40354,-37.18352,383.0665,-15.7337,53.00426,403.50635
519,8.39172,-37.19948,383.1203,-15.73179,53.02615,403.59647
520,8.37886,-37.2159,383.17313,-15.72978,53.04773,403.68658
521,8.36497,-37.23278,383.22495,-15.72765,53.069,403.77673
522,8.35009,-37.25015,383.27576,-15.72543,53.09,403.86682
