Unnamed: 0_level_0,L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
701,3.32556,0.0,-0.0,0.18584,-0.0,0.0,8.02837,-2.41063,8.41324,17.49024,4.25726,-16.79802,-40.09293,-4.66076,0.00192,-25.86183,-2.58207,0.0,30.12637,9.37449,12.28746,10.45603,-7.27891,-9.28117,43.91791,29.63215,-10.825,38.66344,-17.64716,26.13983,132.11287,0.01311,-97.03379,123.95383,-0.0007,100.92485,-9.90011,-14.64001,-0.00081,-14.8176,4.19351,0.00077,-1.84595,-7.24077,5.03335,-24.8858,-8.62404,1.81081,0.6971,1.72793,3.72558
702,2.99975,-0.0,-0.0,0.17813,0.0,-0.0,8.19762,-2.52305,8.80075,17.39046,4.4013,-16.39574,-39.71254,-4.39601,0.00242,-25.74184,-2.42445,-0.00053,30.191,9.09664,12.46514,10.57259,-7.51036,-9.55132,44.23495,29.37779,-11.17704,39.34062,-16.89218,26.75767,131.78764,0.01288,-95.59979,123.59308,-0.00266,100.8201,-10.03934,-13.96182,0.00042,-15.23634,4.05884,-0.00028,-1.85374,-7.31798,5.07279,-24.89771,-8.7104,1.81665,0.63362,1.38651,3.85351
703,2.75462,0.0,-0.0,0.17704,0.0,-0.0,8.37905,-2.6562,9.26148,17.1795,4.44624,-16.00636,-39.27835,-4.14051,0.00211,-25.67809,-2.30192,-0.00074,30.20692,8.84536,12.57247,10.75011,-7.67781,-9.72777,44.49479,29.13988,-11.45117,40.09259,-16.13431,27.47047,131.46432,0.00901,-94.28639,123.16966,-0.00559,100.68055,-10.10126,-13.35203,0.00156,-15.74817,3.84431,-0.00164,-1.87166,-7.39978,5.07483,-24.92053,-8.78646,1.78613,0.54351,1.07025,4.04093
704,2.59615,0.0,-0.0,0.16542,0.0,0.0,8.56241,-2.74029,9.76059,16.90169,4.42212,-15.64332,-38.82213,-3.92249,0.00124,-25.66142,-2.20115,-0.0007,30.1909,8.63104,12.595,10.97738,-7.78923,-9.81533,44.70228,28.90496,-11.66613,40.91187,-15.40637,28.21646,131.13383,0.00195,-93.39017,122.70781,-0.00872,100.48663,-10.11175,-12.90621,0.00172,-16.04314,3.59922,-0.00413,-1.88225,-7.47258,5.03,-24.93608,-8.83605,1.7159,0.43291,0.77933,4.29444
705,2.48227,0.0,0.0,0.13459,0.0,0.0,8.74286,-2.74782,10.24797,16.60946,4.39926,-15.31566,-38.37188,-3.74743,0.00029,-25.66774,-2.12627,-0.00053,30.16324,8.45542,12.54422,11.23483,-7.85314,-9.84875,44.85822,28.66712,-11.84907,41.8049,-14.72032,28.96304,130.78401,-0.00615,-93.11894,122.22573,-0.00999,100.25964,-10.11605,-12.64295,0.0008,-15.96509,3.39386,-0.00573,-1.86759,-7.53759,4.96564,-24.92612,-8.87088,1.63071,0.31554,0.50824,4.60184
706,2.37738,-0.0,0.0,0.09352,0.0,0.0,8.91134,-2.70095,10.67771,16.33948,4.43038,-15.03692,-37.94471,-3.6084,-0.00038,-25.665,-2.08568,-0.00035,30.14441,8.31714,12.44048,11.50199,-7.87273,-9.86287,44.95357,28.43272,-12.01523,42.78608,-14.06029,29.71224,130.4053,-0.01173,-93.45127,121.72878,-0.00692,100.12466,-10.1473,-12.48318,-0.0006,-15.57386,3.32292,-0.0044,-1.81572,-7.61156,4.93411,-24.87913,-8.92669,1.57228,0.20695,0.25144,4.93191
707,2.27163,0.0,0.0,0.06113,0.0,-0.0,9.05334,-2.64744,11.01952,16.10617,4.51997,-14.81888,-37.54642,-3.49297,-0.00062,-25.62234,-2.08039,-0.00026,30.15078,8.21354,12.3094,11.7627,-7.8494,-9.87761,44.97797,28.21254,-12.16154,43.85519,-13.3969,30.46982,129.99458,-0.0118,-94.11534,121.21422,0.00115,100.29872,-10.20548,-12.2774,-0.00163,-15.05848,3.46918,-0.00114,-1.72465,-7.71546,4.98376,-24.79397,-9.04156,1.5769,0.11968,0.00378,5.24801
708,2.16798,0.0,-0.0,0.04516,0.0,-0.0,9.15532,-2.6248,11.25911,15.91196,4.6413,-14.6638,-37.17801,-3.38535,-0.00047,-25.51903,-2.10294,-0.00024,30.19168,8.13954,12.18094,12.00446,-7.78778,-9.90489,44.93734,28.0053,-12.27772,44.97514,-12.71614,31.20798,129.55489,-0.00659,-94.7382,120.68504,0.01137,100.96492,-10.24782,-11.88842,-0.00127,-14.59324,3.85325,0.00125,-1.6052,-7.86128,5.12753,-24.68211,-9.23155,1.65175,0.05942,-0.24104,5.52599
709,2.07031,0.0,-0.0,0.02652,0.0,-0.0,9.20977,-2.63901,11.39698,15.7608,4.76589,-14.57012,-36.84425,-3.26933,-0.00014,-25.34958,-2.14028,-0.00019,30.27148,8.0855,12.07448,12.21339,-7.69631,-9.96155,44.86125,27.78775,-12.36187,46.07377,-12.03875,31.86169,129.09528,-0.00013,-95.09313,120.15887,0.0184,102.13062,-10.20158,-11.29132,0.00085,-14.25879,4.4116,0.00142,-1.48191,-8.04265,5.33104,-24.56815,-9.47741,1.76761,0.02344,-0.48906,5.75904
